namegovt,arrival,resign
Thorbecke III,24 november 1870,24 june 1872
De Vries/Fransen van de Putte,25 june 1872,26 august 1874
Heemskerk/Van Lynden van Sandenburg,27 august 1874,2 november 1877
Kappeyne van de Coppello,3 november 1877,19 august 1879
Van Lynden van Sandenburg,20 august 1879,22 april 1883
Heemskerk Azn.,23 april 1883,20 april 1888
Mackay,21 april 1888,20 august 1891
Van Tienhoven,21 august 1891,8 may 1894
Röell,9 may 1894,26 july 1897
Pierson,27 july 1897,31 july 1901
Kuyper,1 august 1901,16 august 1905
De Meester,17 august 1905,11 february 1908
Heemskerk,12 february 1908,28 august 1913
Cort van der Linden,29 august 1913,8 september 1918
Ruijs de Beerenbrouck I,9 september 1918,18 july 1922
