Unnamed: 0,Name,Parliament
0,Dirk van Akerlaken,1871-1875
1,Willem Adriaan Bergsma,1871-1875
2,Sybrand van Beyma thoe Kingma,1871-1875
3,Charles Antoine de Bieberstein Rogalla Zawadsky,1871-1875
4,François Willem Cornelis Blom,1871-1875
5,Barend Brouwer,1871-1875
6,Jacob Leonard de Bruyn Kops,1871-1875
7,Eppo Cremers,1871-1875
8,Albertus van Delden,1871-1875
9,Cornelis Fock,1871-1875
10,Isaäc Dignus Fransen van de Putte,1871-1875
11,Willem Theodore Gevers Deynoot,1871-1875
12,Sybrand Hingst,1871-1875
13,Samuel van Houten,1871-1875
14,Willem Jonckbloet,1871-1875
15,Klaas Harshoorn de Jong,1871-1875
16,Jan Kappeyne van de Coppello,1871-1875
17,Michiel Johan de Lange,1871-1875
18,Donald Jacob Mackay,1871-1875
19,Charles Jean François Mirandolle,1871-1875
20,Antony Moens,1871-1875
21,Albertus van Naamen van Eemnes,1871-1875
22,Lucas Oldenhuis Gratama,1871-1875
23,Willem Hubert Pyls,1871-1875
24,Karel Anton Rombach,1871-1875
25,Jan Karel Hendrik de Roo van Alderwerelt,1871-1875
26,Derk de Ruiter Zijlker,1871-1875
27,Jan Willem Hendrik Rutgers van Rozenburg,1871-1875
28,Johannes Albertus Sandberg,1871-1875
29,Hendrik Jan Smidt,1871-1875
30,Thomas Joannes Stieltjes,1871-1875
31,Johannes Tak van Poortvliet,1871-1875
32,Schelte Wybenga,1871-1875
33,Johannes Baptista Bots,1871-1875
34,Jan Pieter Bredius,1871-1875
35,Jacob Dam,1871-1875
36,Willem Hendrik Dullert,1871-1875
37,Gerard Dumbar,1871-1875
38,Daniël van Eck,1871-1875
39,Jan Heemskerk Bzn.,1871-1875
40,Wieger Hendrikus Idzerda,1871-1875
41,Jacob Johan van Kerkwijk,1871-1875
42,Lambertus Eduard Lenting,1871-1875
43,Gijsbertus Martinus van der Linden,1871-1875
44,Paul Therèse van der Maesen de Sombreff,1871-1875
45,Willem Adriaan Viruly Verbrugge,1871-1875
46,Rembertus Westerhoff,1871-1875
47,Warnardus Cornelis Mathildus Begram,1871-1875
48,Ernest Louis van Hardenbroek van Lockhorst,1871-1875
49,Jan Heemskerk Azn.,1871-1875
50,Eduard Herman s' Jacob,1871-1875
51,Nicolaas Pieter Jacob Kien,1871-1875
52,Johannes van Kuijk,1871-1875
53,Evert du Marchie van Voorthuysen,1871-1875
54,Johannes Leonardus Nierstrasz C.Jzn.,1871-1875
55,Gerlach Cornelis Johannes van Reenen,1871-1875
56,Cornelis Ascanius van Sypesteyn,1871-1875
57,Pieter Hendrik Taets van Amerongen tot Natewisch,1871-1875
58,Willem Wintgens,1871-1875
59,Julius van Zuylen van Nijevelt,1871-1875
60,Jan Hendrik Arnoldts,1871-1875
61,Ferdinand Hendrik Hubert Borret,1871-1875
62,Johannes Maria Benedictus Josephus van der Does de Willebois,1871-1875
63,Leopold Haffmans,1871-1875
64,Petrus van den Heuvel,1871-1875
65,Christianus Joannes Antonius Heydenrijck,1871-1875
66,Aloysius Franciscus Xaverius Luyben,1871-1875
67,Carel van Nispen,1871-1875
68,Joannes Antonius Christianus Arnoldus van Nispen van Sevenaer,1871-1875
69,Petrus Johannes Antonius Smitz,1871-1875
70,Johannes Baptista Arnoldus Josephus Maria Verheyen,1871-1875
71,Franciscus Johannes Emilius van Zinnicq Bergmann,1871-1875
72,Willem Maurits de Brauw,1871-1875
73,Cornelis van Foreest,1871-1875
74,Mari Aert Frederic Henri Hoffmann,1871-1875
75,Theo van Lynden van Sandenburg,1871-1875
76,Jan Willem van Loon,1871-1875
77,Pieter Hendrik Saaymans Vader,1871-1875
78,Otto van Wassenaer van Catwijck,1871-1875
79,Carel Marius Storm van 's-Gravesande,1871-1875
80,Michel Henry Godefroi,1871-1875
81,Otto van Rees,1871-1875
82,Jolle Albertus Jolles,1871-1875
83,Binnert Philip van Harinxma thoe Slooten,1871-1875
84,Rudolf Pieter Mees R.Azn.,1871-1875
85,Jan Schepel,1871-1875
86,Willem van der Kaay,1871-1875
87,Pieter Blussé van Oud-Alblas,1871-1875
88,Rutger Jan Schimmelpenninck van Nijenhuis,1871-1875
89,Herman Albrecht Insinger,1871-1875
90,Gerhardus Fabius,1871-1875
91,Jan Messchert van Vollenhoven,1871-1875
92,Hendrik Anthon van Rappard,1871-1875
93,François de Casembroot,1871-1875
94,Antonius van Baar,1871-1875
95,Guillaume Eugène François Xavier Mathias Kerens de Wylré,1871-1875
96,Jerôme Lambrechts,1871-1875
97,Raphaël Alexander Johannes Boudewinus Maria van Nispen van Sevenaer,1871-1875
98,Isaäc Lambertus Cremer van den Berch van Heemstede,1871-1875
99,Alex Schimmelpenninck van der Oye,1871-1875
100,James John Teding van Berkhout,1871-1875
101,Marinus Bichon van IJsselmonde,1871-1875
102,Abraham Kuyper,1871-1875
103,Matthias Margarethus van Asch van Wijck,1871-1875
0,Willem Adriaan Bergsma,1875-1879
1,Charles Antoine de Bieberstein Rogalla Zawadsky,1875-1879
2,François Willem Cornelis Blom,1875-1879
3,Pieter Blussé van Oud-Alblas,1875-1879
4,Jan Pieter Bredius,1875-1879
5,Jacob Leonard de Bruyn Kops,1875-1879
6,Eppo Cremers,1875-1879
7,Willem Hendrik Dullert,1875-1879
8,Daniël van Eck,1875-1879
9,Isaäc Dignus Fransen van de Putte,1875-1879
10,Johan Herman Geertsema Czn.,1875-1879
11,Willem Theodore Gevers Deynoot,1875-1879
12,Michel Henry Godefroi,1875-1879
13,Binnert Philip van Harinxma thoe Slooten,1875-1879
14,Sybrand Hingst,1875-1879
15,Samuel van Houten,1875-1879
16,Wieger Hendrikus Idzerda,1875-1879
17,Willem Jonckbloet,1875-1879
18,Klaas Harshoorn de Jong,1875-1879
19,Willem van der Kaay,1875-1879
20,Jan Kappeyne van de Coppello,1875-1879
21,Jacob Johan van Kerkwijk,1875-1879
22,Michiel Johan de Lange,1875-1879
23,Lambertus Eduard Lenting,1875-1879
24,Donald Jacob Mackay,1875-1879
25,Rudolf Pieter Mees R.Azn.,1875-1879
26,Charles Jean François Mirandolle,1875-1879
27,Antony Moens,1875-1879
28,Albertus van Naamen van Eemnes,1875-1879
29,Lucas Oldenhuis Gratama,1875-1879
30,Karel Anton Rombach,1875-1879
31,Jan Karel Hendrik de Roo van Alderwerelt,1875-1879
32,Derk de Ruiter Zijlker,1875-1879
33,Johannes Albertus Sandberg,1875-1879
34,Jan Schepel,1875-1879
35,Hendrik Jan Smidt,1875-1879
36,Thomas Joannes Stieltjes,1875-1879
37,Johannes Tak van Poortvliet,1875-1879
38,Sjoerd Vening Meinesz,1875-1879
39,Willem Adriaan Viruly Verbrugge,1875-1879
40,Gerrit de Vries Azn.,1875-1879
41,Schelte Wybenga,1875-1879
42,Jan Hendrik Arnoldts,1875-1879
43,Antonius van Baar,1875-1879
44,Ferdinand Hendrik Hubert Borret,1875-1879
45,Johannes Maria Benedictus Josephus van der Does de Willebois,1875-1879
46,Leopold Haffmans,1875-1879
47,Petrus van den Heuvel,1875-1879
48,Christianus Joannes Antonius Heydenrijck,1875-1879
49,Guillaume Eugène François Xavier Mathias Kerens de Wylré,1875-1879
50,Jerôme Lambrechts,1875-1879
51,Aloysius Franciscus Xaverius Luyben,1875-1879
52,Carel van Nispen,1875-1879
53,Petrus Johannes Antonius Smitz,1875-1879
54,Johannes Baptista Arnoldus Josephus Maria Verheyen,1875-1879
55,Franciscus Johannes Emilius van Zinnicq Bergmann,1875-1879
56,Matthias Margarethus van Asch van Wijck,1875-1879
57,Isaäc Lambertus Cremer van den Berch van Heemstede,1875-1879
58,Marinus Bichon van IJsselmonde,1875-1879
59,Frans Julius Johan van Heemstra,1875-1879
60,Johan Louis de Jonge,1875-1879
61,Abraham Kuyper,1875-1879
62,Jan Willem van Loon,1875-1879
63,Pieter Hendrik Saaymans Vader,1875-1879
64,Alex Schimmelpenninck van der Oye,1875-1879
65,James John Teding van Berkhout,1875-1879
66,Otto van Wassenaer van Catwijck,1875-1879
67,Warnardus Cornelis Mathildus Begram,1875-1879
68,François de Casembroot,1875-1879
69,Jan Reijnaud Corver Hooft,1875-1879
70,Gerhardus Fabius,1875-1879
71,Herman Albrecht Insinger,1875-1879
72,Jan Messchert van Vollenhoven,1875-1879
73,Johannes Leonardus Nierstrasz C.Jzn.,1875-1879
74,Hendrik Anthon van Rappard,1875-1879
75,Rutger Jan Schimmelpenninck van Nijenhuis,1875-1879
76,Willem Wintgens,1875-1879
77,Jacob Nicolaas Bastert,1875-1879
78,Carel Marius Storm van 's-Gravesande,1875-1879
79,Herman Agatho des Amorie van der Hoeven,1875-1879
80,Herman Cornelis Verniers van der Loeff,1875-1879
81,Willem Hendrik de Beaufort,1875-1879
82,Cornelis van Heukelom,1875-1879
83,Jacob Gerard Patijn,1875-1879
84,Albertus van Delden,1875-1879
85,Herman Jacob Dijckmeester,1875-1879
86,Petrus Hendrik Holtzman,1875-1879
87,Jan Willem Hendrik Rutgers van Rozenburg,1875-1879
88,Adriaan Marius Schagen van Leeuwen,1875-1879
89,Joan Röell,1875-1879
90,Hendrik Goeman Borgesius,1875-1879
91,Cornelis Jacob Sickesz,1875-1879
92,Willem de Meijier,1875-1879
93,Warmold Albertinus van der Feltz,1875-1879
94,Otto van Rees,1875-1879
95,Willem Anthony Froger,1875-1879
96,Jan Hendrik Frans Karel van Swinderen,1875-1879
97,Jan van Gennep,1875-1879
98,Gijsbertus Martinus van der Linden,1875-1879
99,Franciscus Lieftinck,1875-1879
100,Arthur Kool,1875-1879
101,Joannes Barendinus van Osenbruggen,1875-1879
102,Pierre Guillaume Jean van der Schrieck,1875-1879
103,Hubert Joachim Brouwers,1875-1879
104,Æneas Mackay jr.,1875-1879
105,Harry Barge,1875-1879
106,Jacobus Gerardus de Bruijn,1875-1879
107,Jan Pieter Bredius,1875-1879
108,Jan van Stolk Jzn.,1875-1879
109,Gijsbert van Tienhoven,1875-1879
110,Jan Willem Jacobus de Vos van Steenwijk,1875-1879
111,Roeland van de Werk,1875-1879
112,Alex Schimmelpenninck van der Oye,1875-1879
0,Willem Hendrik de Beaufort,1879-1883
1,Willem Adriaan Bergsma,1879-1883
2,Pieter Blussé van Oud-Alblas,1879-1883
3,Jan Pieter Bredius,1879-1883
4,Eppo Cremers,1879-1883
5,Albertus van Delden,1879-1883
6,Herman Jacob Dijckmeester,1879-1883
7,Willem Hendrik Dullert,1879-1883
8,Daniël van Eck,1879-1883
9,Warmold Albertinus van der Feltz,1879-1883
10,Isaäc Dignus Fransen van de Putte,1879-1883
11,Willem Anthonie Froger,1879-1883
12,Jan van Gennep,1879-1883
13,Michel Henry Godefroi,1879-1883
14,Hendrik Goeman Borgesius,1879-1883
15,Cornelis van Heukelom,1879-1883
16,Sybrand Hingst,1879-1883
17,Petrus Hendrik Holtzman,1879-1883
18,Samuel van Houten,1879-1883
19,Wieger Hendrikus Idzerda,1879-1883
20,Willem van der Kaay,1879-1883
21,Jacob Johan van Kerkwijk,1879-1883
22,Arthur Kool,1879-1883
23,Lambertus Eduard Lenting,1879-1883
24,Franciscus Lieftinck,1879-1883
25,Gijsbertus Martinus van der Linden,1879-1883
26,Rudolf Pieter Mees R.Azn.,1879-1883
27,Charles Jean François Mirandolle,1879-1883
28,Lucas Oldenhuis Gratama,1879-1883
29,Johannes Barendinus van Osenbruggen,1879-1883
30,Jacob Gerard Patijn,1879-1883
31,Joan Röell,1879-1883
32,Derk de Ruiter Zijlker,1879-1883
33,Jan Willem Hendrik Rutgers van Rozenburg,1879-1883
34,Johannes Albertus Sandberg,1879-1883
35,Adriaan Marius Schagen van Leeuwen,1879-1883
36,Jan Schepel,1879-1883
37,Cornelis Jacob Sickesz,1879-1883
38,Jan van Stolk Jzn.,1879-1883
39,Gijsbert van Tienhoven,1879-1883
40,Sjoerd Vening Meinesz,1879-1883
41,Willem Adriaan Viruly Verbrugge,1879-1883
42,Jan Willem Jacobus de Vos van Steenwijk,1879-1883
43,Roeland van de Werk,1879-1883
44,Schelte Wybenga,1879-1883
45,Jan Hendrik Arnoldts,1879-1883
46,Antonius van Baar,1879-1883
47,Charles Antoine de Bieberstein Rogalla Zawadsky,1879-1883
48,Ferdinand Hendrik Hubert Borret,1879-1883
49,Hubert Joachim Brouwers,1879-1883
50,Leopold Haffmans,1879-1883
51,Christianus Joannes Antonius Heydenrijck,1879-1883
52,Guillaume Eugène François Xavier Mathias Kerens de Wylré,1879-1883
53,Jerôme Lambrechts,1879-1883
54,Aloysius Franciscus Xaverius Luyben,1879-1883
55,Carel van Nispen,1879-1883
56,Pierre Guillaume Jean van der Schrieck,1879-1883
57,Johannes Baptista Arnoldus Josephus Maria Verheyen,1879-1883
58,Matthias Margarethus van Asch van Wijck,1879-1883
59,Marinus Bichon van IJsselmonde,1879-1883
60,Alexander van Dedem,1879-1883
61,Pieter Jacob Elout van Soeterwoude,1879-1883
62,Jan Thomassen à Thuessink van der Hoop van Slochteren,1879-1883
63,Johan Louis de Jonge,1879-1883
64,Levinus Wilhelmus Christiaan Keuchenius,1879-1883
65,Æneas Mackay jr.,1879-1883
66,Alexander Frederik de Savornin Lohman,1879-1883
67,Alex Schimmelpenninck van der Oye,1879-1883
68,James John Teding van Berkhout,1879-1883
69,Otto van Wassenaer van Catwijck,1879-1883
70,Jacob Leonard de Bruyn Kops,1879-1883
71,Idzerd Frans van Humalda van Eysinga,1879-1883
72,Klaas de Jong,1879-1883
73,Willem de Meijier,1879-1883
74,Antony Moens,1879-1883
