Unnamed..0,Name,Parliament,b1_nummer,achternaam,voorletters,voorna_a_m_en,roepnaam,prepositie,geslacht,partij_en_fractie_s,begin_periode,einde_periode
0,Dominicus Blankenheym,1871-1874,00126,Blankenheym,D.,Dominicus,NA,NA,m,liberaal,1849-02-13,1872-09-06
1,Willem Christiaan Borsius,1871-1874,00170,Borsius,W.Ch.,Willem Christiaan,NA,NA,m,liberaal,1871-09-18,1883-09-30
2,Eugène Jean Alexander van Bylandt,1871-1874,00244,Bylandt,E.J.A.,Eugène Jean Alexander,NA,graaf van,m,liberaal,1868-09-21,1874-09-20
3,Hendrikus Albertus Diedericus Coenen,1871-1874,00260,Coenen,H.A.D.,Hendrikus Albertus Diedericus,NA,NA,m,liberaal,1871-03-27,1896-09-14
4,Willem Herman Cost Jordens,1871-1874,00275,Cost Jordens,W.H.,Willem Herman,NA,NA,m,liberaal,1849-02-13,1873-09-14
5,Coos Cremers,1871-1874,00281,Cremers,J.J.,Jacobus Johannes,Coos,NA,m,liberaal,1850-12-16,1882-03-04
6,Daniël Carel de Dieu Fontein Verschuir,1871-1874,00312,Dieu Fontein Verschuir,D.C.,Daniël Carel,NA,de,m,liberaal,1866-11-19,1874-08-17
7,Albertus Jacobus Duymaer van Twist,1871-1874,00353,Duymaer van Twist,A.J.,Albertus Jacobus,NA,NA,m,'pragmatisch' liberaal;liberaal,1865-09-19,1881-10-12
8,Frans Julius Johan van Eysinga,1871-1874,00393,Eysinga,F.J.J.,Frans Julius Johan,Frans,van,m,liberaal,1850-10-07,1894-06-07
9,Johannes Fransen van de Putte,1871-1874,00422,Fransen van de Putte,J.,Johannes,Jan,NA,m,'pragmatisch' liberaal,1859-09-20,1875-11-08
10,Cornelis Jans Geertsema,1871-1874,00436,Geertsema,C.J.,Cornelis Jans,NA,NA,m,liberaal,1864-04-14,1879-06-05
11,Johan Wilhelm Hein,1871-1874,00551,Hein,J.W.,Johan Wilhelm,NA,NA,m,liberaal,1865-05-18,1880-09-19
12,Johannes Hengst,1871-1874,00561,Hengst,J.B.J.,Johannes Baptista Josephus,NA,NA,m,'pragmatisch' liberaal;Rooms-Katholieken,1863-06-16,1890-10-30
13,Franciscus Bernardus Hubertus Michiels van Kessenich,1871-1874,00921,Michiels van Kessenich,F.B.H.,Franciscus Bernardus Hubertus,NA,NA,m,'pragmatisch' liberaal;Rooms-Katholieken,1859-09-20,1881-05-31
14,Carel Johan Richard Nobel,1871-1874,00980,Nobel,C.J.R.,Carel Johan Righard,NA,NA,m,liberaal,1862-12-08,1884-10-10
15,Adrianus Prins,1871-1874,01060,Prins,A.,Adrianus,NA,NA,m,liberaal,1871-09-19,1899-09-18
16,Gerrit Adrianus de Raadt,1871-1874,01074,Raadt,G.A.,Gerrit Adrianus,NA,de,m,liberaal,1871-09-18,1883-12-30
17,Louis van Sasse van Ysselt,1871-1874,01173,Sasse van Ysselt,L.J.B.,Ludovicus Johannes Baptista,Louis,van,m,liberaal;Rooms-Katholieken,1849-02-13,1883-09-16
18,Gijsbertus Schot,1871-1874,01224,Schot,G.,Gijsbertus,NA,NA,m,liberaal,1865-09-18,1881-09-18
19,Hendrik Jan Smit,1871-1874,01274,Smit,H.J.,Hendrik Jan,NA,NA,m,liberaal,1864-09-20,1881-05-10
20,Charles Theodorus Stork,1871-1874,01313,Stork,Ch.Th.,Charles Theodorus,NA,NA,m,liberaal,1867-09-18,1895-06-04
21,Gerard Regnier Gerlacius van Swinderen,1871-1874,01332,Swinderen,G.R.G.,Gerard Regnier Gerlacius,NA,van,m,liberaal,1849-02-13,1879-06-20
22,Herman Eliza Verschoor,1871-1874,01425,Verschoor,H.E.,Herman Eliza,NA,NA,m,'pragmatisch' liberaal,1864-12-12,1877-08-01
23,Louis Libert Guillaume Marc Villers de Pité,1871-1874,01434,Villers de Pité,L.L.G.M.,Louis Libert Guillaume Marc,NA,NA,m,'pragmatisch' liberaal;Rooms-Katholieken,1850-10-07,1880-09-19
24,Theodorus Pieter Viruly,1871-1874,01436,Viruly,Th.P.,Theodorus Pieter,NA,NA,m,liberaal,1862-09-16,1902-04-09
25,Joost van Vollenhoven,1871-1874,01459,Vollenhoven,J.,Joost,Joost,van,m,liberaal,1863-10-29,1888-03-26
26,Louis Beerenbroek,1871-1874,00080,Beerenbroek,L.F.H.,Ludovicus Franciscus Hubertus,Louis,NA,m,'pragmatisch' liberaal;conservatief (katholiek),1849-02-13,1884-05-03
27,Joan Huydecoper van Maarsseveen,1871-1874,00622,Huydecoper van Maarsseveen,J.,Joan,NA,NA,m,'pragmatisch' liberaal;liberaal,1858-05-26,1890-11-28
28,Herman Jan Rahusen,1871-1874,01078,Rahusen,H.J.,Herman Jan,NA,NA,m,'pragmatisch' liberaal,1866-09-18,1875-05-23
29,Cornelis Herman van Rhemen van Rhemenshuizen,1871-1874,01107,Rhemen van Rhemenshuizen,C.H.,Cornelis Herman,NA,baron van,m,'pragmatisch' liberaal;liberaal,1850-10-09,1880-02-10
30,Carolus Jacobus Antonius van Rijckevorsel,1871-1874,01158,Rijckevorsel,C.J.A.,Carolus Jacobus Antonius,NA,van,m,'pragmatisch' liberaal,1871-09-18,1883-01-13
31,Jan Arend Godert de Vos van Steenwijk,1871-1874,01478,Vos van Steenwijk,J.A.G.,Jan Arend Godert,NA,baron de,m,'pragmatisch' liberaal,1853-04-20,1880-04-30
32,Hans Willem Aylva baron van Pallandt van Waardenburg en Neerijnen,1871-1874,00047,Aylva baron van Pallandt van Waardenburg en Neerijnen,H.W.,Hans Willem,NA,van,m,conservatief,1849-02-13,1880-09-19
33,Jan Karel van Goltstein,1871-1874,00473,Goltstein,J.K.,Jan Karel,NA,baron van,m,conservatief,1870-12-22,1872-02-16
34,Cornelis Hartsen,1871-1874,00526,Hartsen,C.,Cornelis,NA,NA,m,conservatief,1859-09-19,1877-09-16
35,Jan Messchert van Vollenhoven,1871-1874,00909,Messchert van Vollenhoven,J.,Jan,NA,NA,m,conservatief,1864-04-14,1873-09-14
36,Willem Anne Schimmelpenninck van der Oye,1871-1874,01205,Schimmelpenninck van der Oye,W.A.,Willem Anne,NA,baron,m,regeringsgezinden ten tijde van Willem II;conservatief,1846-03-20,1872-12-11
37,Wyncko Johannes Tonckens,1871-1874,01372,Tonckens,W.J.,Wyncko Johannes,NA,NA,m,conservatief,1849-02-14,1875-01-16
38,Antonius Franciscus Vos de Wael,1871-1874,01483,Vos de Wael,A.F.,Antonius Franciscus,NA,NA,m,Rooms-Katholieken,1871-09-18,1883-09-16
39,Lodewijk Pincoffs,1871-1874,01035,Pincoffs,L.,Lodewijk,NA,NA,m,liberaal,1872-11-06,1879-05-20
40,Jacobus Thooft,1871-1874,01360,Thooft,J.,Jacobus,NA,NA,m,liberaal,1873-05-16,1893-09-18
41,Ernst Christiaan Büchner,1871-1874,00233,Büchner,E.Ch.,Ernst Christiaan,NA,NA,m,liberaal,1873-11-18,1882-09-29
42,Gerard Dumbar,1871-1874,00350,Dumbar,G.,Gerard,NA,NA,m,liberaal,1873-11-21,1878-07-31
43,Willem van Goltstein van Oldenaller,1871-1874,00475,Goltstein van Oldenaller,W.,Willem,NA,baron van,m,conservatief,1872-04-04,1874-08-27
0,Dirk van Akerlaken,1874-1877,00009,Akerlaken,D.,Dirk,NA,van,m,liberaal,1874-09-21,1892-01-17
1,Adolph Blussé,1874-1877,00136,Blussé,A.,Adolph,NA,NA,m,liberaal,1874-10-24,1890-12-17
2,Willem Christiaan Borsius,1874-1877,00170,Borsius,W.Ch.,Willem Christiaan,NA,NA,m,liberaal,1871-09-18,1883-09-30
3,Ernst Christiaan Büchner,1874-1877,00233,Büchner,E.Ch.,Ernst Christiaan,NA,NA,m,liberaal,1873-11-18,1882-09-29
4,Hendrikus Albertus Diedericus Coenen,1874-1877,00260,Coenen,H.A.D.,Hendrikus Albertus Diedericus,NA,NA,m,liberaal,1871-03-27,1896-09-14
5,Coos Cremers,1874-1877,00281,Cremers,J.J.,Jacobus Johannes,Coos,NA,m,liberaal,1850-12-16,1882-03-04
6,Gerard Dumbar,1874-1877,00350,Dumbar,G.,Gerard,NA,NA,m,liberaal,1873-11-21,1878-07-31
7,Albertus Jacobus Duymaer van Twist,1874-1877,00353,Duymaer van Twist,A.J.,Albertus Jacobus,NA,NA,m,'pragmatisch' liberaal;liberaal,1865-09-19,1881-10-12
8,Frans Julius Johan van Eysinga,1874-1877,00393,Eysinga,F.J.J.,Frans Julius Johan,Frans,van,m,liberaal,1850-10-07,1894-06-07
9,Johannes Fransen van de Putte,1874-1877,00422,Fransen van de Putte,J.,Johannes,Jan,NA,m,'pragmatisch' liberaal,1859-09-20,1875-11-08
10,Cornelis Jans Geertsema,1874-1877,00436,Geertsema,C.J.,Cornelis Jans,NA,NA,m,liberaal,1864-04-14,1879-06-05
11,Johan Wilhelm Hein,1874-1877,00551,Hein,J.W.,Johan Wilhelm,NA,NA,m,liberaal,1865-05-18,1880-09-19
12,Franciscus Bernardus Hubertus Michiels van Kessenich,1874-1877,00921,Michiels van Kessenich,F.B.H.,Franciscus Bernardus Hubertus,NA,NA,m,'pragmatisch' liberaal;Rooms-Katholieken,1859-09-20,1881-05-31
13,Carel Johan Richard Nobel,1874-1877,00980,Nobel,C.J.R.,Carel Johan Righard,NA,NA,m,liberaal,1862-12-08,1884-10-10
14,Lodewijk Pincoffs,1874-1877,01035,Pincoffs,L.,Lodewijk,NA,NA,m,liberaal,1872-11-06,1879-05-20
15,Adrianus Prins,1874-1877,01060,Prins,A.,Adrianus,NA,NA,m,liberaal,1871-09-19,1899-09-18
