,Name,Parliament
0,Dominicus Blankenheym tot 5 september 1872,1871-1874
1,Willem Christiaan Borsius,1871-1874
2,Eugène Jean Alexander van Bylandt,1871-1874
3,Hendrikus Albertus Diedericus Coenen,1871-1874
4,Willem Herman Cost Jordens tot 14 september 1873,1871-1874
5,Coos Cremers,1871-1874
6,Daniël Carel de Dieu Fontein Verschuir,1871-1874
7,Albertus Jacobus Duymaer van Twist,1871-1874
8,Frans Julius Johan van Eysinga,1871-1874
9,Johannes Fransen van de Putte,1871-1874
10,Cornelis Jans Geertsema,1871-1874
11,Johan Wilhelm Hein,1871-1874
12,Johannes Hengst,1871-1874
13,Franciscus Bernardus Hubertus Michiels van Kessenich,1871-1874
14,Carel Johan Richard Nobel,1871-1874
15,Adrianus Prins,1871-1874
16,Gerrit Adrianus de Raadt,1871-1874
17,Louis van Sasse van Ysselt,1871-1874
18,Gijsbertus Schot,1871-1874
19,Hendrik Jan Smit,1871-1874
20,Charles Theodorus Stork,1871-1874
21,Gerard Regnier Gerlacius van Swinderen,1871-1874
22,Herman Eliza Verschoor,1871-1874
23,Louis Libert Guillaume Marc Villers de Pité,1871-1874
24,Theodorus Pieter Viruly,1871-1874
25,Joost van Vollenhoven,1871-1874
26,Louis Beerenbroek,1871-1874
27,Joan Huydecoper van Maarsseveen,1871-1874
28,Herman Jan Rahusen,1871-1874
29,Cornelis Herman van Rhemen van Rhemenshuizen,1871-1874
30,Carolus Jacobus Antonius van Rijckevorsel,1871-1874
31,Jan Arend Godert de Vos van Steenwijk,1871-1874
32,Hans Willem van Aylva van Pallandt,1871-1874
33,Jan Karel van Goltstein tot 16 februari 1872,1871-1874
34,Cornelis Hartsen,1871-1874
35,Jan Messchert van Vollenhoven tot 14 september 1873,1871-1874
36,Willem Anne Schimmelpenninck van der Oye tot 11 december 1872,1871-1874
37,Wyncko Johannes Tonckens,1871-1874
38,Antonius Franciscus Vos de Wael,1871-1874
39,Lodewijk Pincoffs vanaf 6 november 1872,1871-1874
40,Jacobus Thooft vanaf 16 mei 1873,1871-1874
41,Ernst Christiaan Büchner vanaf 18 november 1873,1871-1874
42,Gerard Dumbar vanaf 21 november 1873,1871-1874
43,Willem van Goltstein van Oldenaller vanaf 4 april 1872,1871-1874
0,Dirk van Akerlaken,1874-1877
1,Adolph Blussé,1874-1877
2,Willem Christiaan Borsius,1874-1877
3,Ernst Christiaan Büchner,1874-1877
4,Hendrikus Albertus Diedericus Coenen tot 23 mei 1876,1874-1877
5,Coos Cremers,1874-1877
6,Gerard Dumbar,1874-1877
7,Albertus Jacobus Duymaer van Twist,1874-1877
8,Frans Julius Johan van Eysinga,1874-1877
9,Johannes Fransen van de Putte tot 8 november 1875,1874-1877
10,Cornelis Jans Geertsema,1874-1877
11,Johan Wilhelm Hein,1874-1877
12,Franciscus Bernardus Hubertus Michiels van Kessenich,1874-1877
13,Carel Johan Richard Nobel,1874-1877
14,Lodewijk Pincoffs,1874-1877
15,Adrianus Prins,1874-1877
16,Gerrit Adrianus de Raadt,1874-1877
17,Gijsbertus Schot,1874-1877
18,Hendrik Jan Smit,1874-1877
19,Charles Theodorus Stork,1874-1877
20,Gerard Regnier Gerlacius van Swinderen,1874-1877
21,Jacobus Thooft,1874-1877
22,Herman Eliza Verschoor tot 1 augustus 1877,1874-1877
23,Louis Libert Guillaume Marc Villers de Pité,1874-1877
24,Theodorus Pieter Viruly,1874-1877
25,Joost van Vollenhoven,1874-1877
26,Louis Beerenbroek,1874-1877
27,Joan Huydecoper van Maarsseveen,1874-1877
28,Herman Jan Rahusen tot 23 mei 1875,1874-1877
29,Cornelis Herman van Rhemen van Rhemenshuizen,1874-1877
30,Carolus Jacobus Antonius van Rijckevorsel,1874-1877
31,Jan Arend Godert de Vos van Steenwijk,1874-1877
32,Hans Willem van Aylva van Pallandt,1874-1877
33,Cornelis Hartsen,1874-1877
34,Evert du Marchie van Voorthuysen,1874-1877
35,Wyncko Johannes Tonckens tot 16 januari 1875,1874-1877
36,Johannes Hengst,1874-1877
37,Louis van Sasse van Ysselt,1874-1877
38,Antonius Franciscus Vos de Wael,1874-1877
39,Hendrik Jan Carsten vanaf 30 maart 1875,1874-1877
40,Cornelis Jacob Arnold den Tex vanaf 21 september 1875,1874-1877
41,Carolus Joannes Pické vanaf 27 december 1875,1874-1877
42,Willem Anne Assueer Jacob Schimmelpenninck van der Oye vanaf 19 september 1876,1874-1877
0,Dirk van Akerlaken,1877-1880
1,Adolph Blussé,1877-1880
2,Willem Christiaan Borsius,1877-1880
3,Ernst Christiaan Büchner,1877-1880
4,Hendrik Jan Carsten,1877-1880
