"","gemeente","1848","1850","1888","1897","district"
"3","Adorp",1,NA,NA,NA,"Groningen"
"4","Bedum",NA,NA,1,NA,"Groningen"
"5","Groningen",1,1,1,1,"Groningen"
"6","Haren",1,1,1,NA,"Groningen"
"7","Hoogezand",1,1,1,NA,"Groningen"
"8","Hoogkerk",1,NA,NA,NA,"Groningen"
"9","Noorddijk",1,NA,1,NA,"Groningen"
"10","Sappemeer",NA,1,NA,NA,"Groningen"
"11","Slochteren",NA,NA,1,NA,"Groningen"
"12","Ten Boer",NA,NA,1,NA,"Groningen"
"31","Aduard",1,NA,NA,NA,"Onderdendam"
"41","Baflo",1,NA,NA,NA,"Onderdendam"
"51","Bedum",1,NA,NA,NA,"Onderdendam"
"61","Eenrum",1,NA,NA,NA,"Onderdendam"
"71","Ezinge",1,NA,NA,NA,"Onderdendam"
"81","Grijpskerk",1,NA,NA,NA,"Onderdendam"
"91","Grootegast",1,NA,NA,NA,"Onderdendam"
"101","Kantens",1,NA,NA,NA,"Onderdendam"
"111","Kloosterburen",1,NA,NA,NA,"Onderdendam"
"121","Leek",1,NA,NA,NA,"Onderdendam"
"13","Leens",1,NA,NA,NA,"Onderdendam"
"14","Marum",1,NA,NA,NA,"Onderdendam"
"15","Middelstum",1,NA,NA,NA,"Onderdendam"
"16","Oldehove",1,NA,NA,NA,"Onderdendam"
"17","Oldekerk",1,NA,NA,NA,"Onderdendam"
"18","Ulrum",1,NA,NA,NA,"Onderdendam"
"19","Usquert",1,NA,NA,NA,"Onderdendam"
"20","Warffum",1,NA,NA,NA,"Onderdendam"
"21","Winsum",1,NA,NA,NA,"Onderdendam"
"22","Zuidhorn",1,NA,NA,NA,"Onderdendam"
"32","'t Zandt",1,1,1,1,"Appingedam"
"42","Appingedam",1,1,1,1,"Appingedam"
"52","Baflo",NA,NA,1,1,"Appingedam"
"62","Beerta",NA,1,NA,NA,"Appingedam"
"72","Bellingwolde",NA,1,NA,NA,"Appingedam"
"82","Bierum",1,1,1,1,"Appingedam"
"92","Delfzijl",1,1,1,1,"Appingedam"
"102","Eenrum",NA,NA,1,1,"Appingedam"
"112","Finsterwolde",NA,1,NA,NA,"Appingedam"
"122","Kantens",NA,1,1,1,"Appingedam"
"131","Loppersum",1,1,1,1,"Appingedam"
"141","Meeden",NA,1,NA,NA,"Appingedam"
"151","Middelstum",NA,1,1,1,"Appingedam"
"161","Midwolde",1,1,NA,NA,"Appingedam"
"171","Muntendam",NA,1,NA,NA,"Appingedam"
"181","Nieuwe-Pekela",NA,1,NA,NA,"Appingedam"
"191","Nieuwe-Schans",NA,1,NA,NA,"Appingedam"
"201","Nieuwolda",1,1,NA,NA,"Appingedam"
"211","Noordbroek",1,1,NA,NA,"Appingedam"
"221","Oude-Pekela",NA,1,NA,NA,"Appingedam"
"23","Sappemeer",1,NA,NA,NA,"Appingedam"
"24","Scheemda",NA,1,NA,NA,"Appingedam"
"25","Slochteren",1,1,NA,NA,"Appingedam"
"26","Stedum",1,1,1,1,"Appingedam"
"27","Ten Boer",1,1,NA,NA,"Appingedam"
"33","Termunten",1,1,NA,NA,"Appingedam"
"43","Uithuizen",1,1,1,1,"Appingedam"
"53","Uithuizermeeden",1,1,1,1,"Appingedam"
"63","Usquert",NA,1,1,1,"Appingedam"
"73","Veendam",NA,1,NA,NA,"Appingedam"
"83","Warffum",NA,NA,1,1,"Appingedam"
"93","Wildervank",NA,1,NA,NA,"Appingedam"
"103","Winschoten",NA,1,NA,NA,"Appingedam"
"113","Zuidbroek",1,1,NA,NA,"Appingedam"
"34","Beerta",1,NA,1,1,"Winschoten"
"44","Bellingwolde",1,NA,1,1,"Winschoten"
"54","Finsterwolde",1,NA,1,1,"Winschoten"
"64","Meeden",1,NA,NA,NA,"Winschoten"
"74","Midwolda",NA,NA,1,1,"Winschoten"
"84","Muntendam",1,NA,NA,NA,"Winschoten"
"94","Nieuwe-Pekela",1,NA,NA,NA,"Winschoten"
"104","Nieuwe-Schans",1,NA,1,1,"Winschoten"
"114","Nieuwolda",NA,NA,1,1,"Winschoten"
"123","Noordbroek",NA,NA,1,1,"Winschoten"
"132","Onstwedde",1,NA,NA,NA,"Winschoten"
"142","Oude-Pekela",1,NA,NA,NA,"Winschoten"
"152","Scheemda",1,NA,1,1,"Winschoten"
"162","Termunten",NA,NA,1,1,"Winschoten"
"172","Veendam",1,NA,NA,NA,"Winschoten"
"182","Vlagtwedde",1,NA,NA,NA,"Winschoten"
"192","Wedde",1,NA,1,1,"Winschoten"
"202","Wildervank",1,NA,NA,NA,"Winschoten"
"212","Winschoten",1,NA,1,1,"Winschoten"
"222","Zuidbroek",NA,NA,1,1,"Winschoten"
"35","Barradeel",NA,1,NA,NA,"Leeuwarden"
"45","Bildt ('t)",NA,1,NA,NA,"Leeuwarden"
"55","Bolsward",NA,1,NA,NA,"Leeuwarden"
"65","Franeker",NA,1,NA,NA,"Leeuwarden"
"75","Franekeradeel",NA,1,NA,NA,"Leeuwarden"
"85","Harlingen",NA,1,NA,NA,"Leeuwarden"
"95","Idaarderadeel",1,NA,1,1,"Leeuwarden"
"105","Leeuwarden",1,1,1,1,"Leeuwarden"
"115","Leeuwarderadeel",1,1,1,1,"Leeuwarden"
"124","Menaldumadeel",1,1,NA,NA,"Leeuwarden"
"133","Tietjerksteradeel",1,1,NA,NA,"Leeuwarden"
"143","Wonseradeel",NA,1,NA,NA,"Leeuwarden"
"36","Achtkarspelen",1,1,NA,NA,"Dokkum"
"46","Ameland",1,1,1,1,"Dokkum"
"56","Dantumadeel",1,1,1,1,"Dokkum"
"66","Dokkum",1,1,1,1,"Dokkum"
"76","Ferwerderadeel",1,1,1,1,"Dokkum"
"86","Kollumerland",1,1,NA,NA,"Dokkum"
"96","Oostdongeradeel",1,1,1,1,"Dokkum"
"106","Schiermonnikoog",1,1,1,1,"Dokkum"
"116","Westdongeradeel",1,1,1,1,"Dokkum"
"37","Aengwirden",1,NA,NA,NA,"Heerenveen"
"47","Heerenveen",1,NA,NA,NA,"Heerenveen"
"57","Ooststellingwerf",1,NA,NA,NA,"Heerenveen"
"67","Opsterland",1,NA,NA,NA,"Heerenveen"
"77","Schoterland",1,NA,NA,NA,"Heerenveen"
