"cbsnr","naam","acode","main.cat","year","Aandeel der gemeente in s Rijks personele belasting","% aangeslagenen Rijksinkomstenbel. 33 in % beroepsbev. 30"
1,"ADORP",10996,"h",1889,2960,NA
1,"ADORP",10996,"h",1933,NA,365
1,"ADORP",10996,"h",1869,2203,NA
1,"ADORP",10996,"h",1870,2203,NA
1,"ADORP",10996,"h",1879,3084,NA
2,"ADUARD",10999,"h",1889,4814,NA
2,"ADUARD",10999,"h",1933,NA,396
2,"ADUARD",10999,"h",1869,4595,NA
2,"ADUARD",10999,"h",1870,4622,NA
2,"ADUARD",10999,"h",1879,5020,NA
3,"APPINGEDAM",10886,"h",1889,9384,NA
3,"APPINGEDAM",10886,"h",1933,NA,436
3,"APPINGEDAM",10886,"h",1869,8568,NA
3,"APPINGEDAM",10886,"h",1870,8567,NA
3,"APPINGEDAM",10886,"h",1879,9174,NA
4,"BAFLO",10539,"h",1889,5162,NA
4,"BAFLO",10539,"h",1933,NA,334
4,"BAFLO",10539,"h",1869,4120,NA
4,"BAFLO",10539,"h",1870,4391,NA
4,"BAFLO",10539,"h",1879,5257,NA
5,"BEDUM",10425,"h",1889,12464,NA
5,"BEDUM",10425,"h",1933,NA,403
5,"BEDUM",10425,"h",1869,9738,NA
5,"BEDUM",10425,"h",1870,10034,NA
5,"BEDUM",10425,"h",1879,13240,NA
6,"BEERTA",11043,"h",1889,8794,NA
6,"BEERTA",11043,"h",1933,NA,268
6,"BEERTA",11043,"h",1869,8176,NA
6,"BEERTA",11043,"h",1870,8374,NA
6,"BEERTA",11043,"h",1879,9107,NA
8,"BIERUM",11294,"h",1889,7121,NA
8,"BIERUM",11294,"h",1933,NA,307
8,"BIERUM",11294,"h",1869,6097,NA
8,"BIERUM",11294,"h",1870,6204,NA
8,"BIERUM",11294,"h",1879,6977,NA
9,"TEN BOER",10891,"h",1889,8949,NA
9,"TEN BOER",10891,"h",1933,NA,337
9,"TEN BOER",10891,"h",1869,6839,NA
9,"TEN BOER",10891,"h",1870,7111,NA
9,"TEN BOER",10891,"h",1879,9112,NA
10,"DELFZIJL",10976,"h",1889,11012,NA
10,"DELFZIJL",10976,"h",1933,NA,386
10,"DELFZIJL",10976,"h",1869,8705,NA
10,"DELFZIJL",10976,"h",1870,9007,NA
10,"DELFZIJL",10976,"h",1879,10507,NA
11,"EENRUM",10904,"h",1889,5986,NA
11,"EENRUM",10904,"h",1933,NA,338
11,"EENRUM",10904,"h",1869,4604,NA
11,"EENRUM",10904,"h",1870,4716,NA
11,"EENRUM",10904,"h",1879,5980,NA
12,"EZINGE",10136,"h",1889,3899,NA
12,"EZINGE",10136,"h",1933,NA,350
