"naam","year","cbsnr","acode","industry","services","agricul","total","industry_share","services_share","agricul_share"
"'S GRAVELAND",1930,390,10534,0,155,0,155,0,1,0
"'S GRAVENDEEL",1930,517,10052,0,171,0,171,0,1,0
"'S-GRAVENHAGE",1889,518,11434,13825,33759,2469,50053,0.276207220346433,0.674465067028949,0.0493277126246179
"'S-GRAVENHAGE",1899,518,11434,19292,44659,3685,67636,0.285232716304926,0.660284463894967,0.0544828198001065
"'S-GRAVENHAGE",1930,518,11434,32325,97651,5390,135366,0.238797039138336,0.721384985890105,0.0398179749715586
"'S GRAVENMOER",1930,787,10469,0,45,0,45,0,1,0
"'S GRAVENZANDE",1889,519,10640,1140,520,959,2619,0.435280641466208,0.198549064528446,0.366170294005346
"'S GRAVENZANDE",1899,519,10640,1097,733,929,2759,0.397607828923523,0.265675969554186,0.336716201522291
"'S GRAVENZANDE",1930,519,10640,1761,632,1484,3877,0.454217178230591,0.163012638638122,0.382770183131287
"'S-HERTOGENBOSCH",1889,796,10054,2499,6677,204,9380,0.266417910447761,0.71183368869936,0.0217484008528785
"'S-HERTOGENBOSCH",1899,796,10054,2667,7228,189,10084,0.264478381594605,0.716779055930186,0.0187425624752083
"'S-HERTOGENBOSCH",1930,796,10054,2743,9140,128,12011,0.2283739905087,0.760969111647656,0.0106568978436433
"'S-GRAVENPOLDER",1930,666,11059,0,39,0,39,0,1,0
"'S-HEER ABTSKERKE",1930,669,10337,0,12,0,12,0,1,0
"'S-HEER ARENDSKERKE",1930,670,10875,0,127,0,127,0,1,0
"'S-HEERENHOEK",1930,671,10721,0,53,0,53,0,1,0
"'T ZANDT",1889,54,10956,609,338,543,1490,0.408724832214765,0.226845637583893,0.364429530201342
"'T ZANDT",1930,54,10956,0,155,0,155,0,1,0
"AAGTEKERKE",1930,1000,10531,0,26,0,26,0,1,0
"AALBURG",1930,738,11084,0,69,0,69,0,1,0
"AALSMEER",1930,358,11264,0,389,0,389,0,1,0
"AALTEN",1889,197,11046,1950,406,1301,3657,0.533223954060706,0.111019961717255,0.35575608422204
"AALTEN",1899,197,11046,2092,755,1286,4133,0.506169852407452,0.18267602225986,0.311154125332688
"AALTEN",1930,197,11046,2624,908,1514,5046,0.520015854141895,0.179944510503369,0.300039635354736
"AARDENBURG",1930,648,11020,0,112,0,112,0,1,0
"AARLE RIXTEL",1930,739,10757,0,238,0,238,0,1,0
"ABBEKERK",1930,359,10439,0,40,0,40,0,1,0
"ABBENBROEK",1930,481,11026,0,31,0,31,0,1,0
"ABCOUDE-BAAMBRUGGE",1889,1003,11184,239,226,152,617,0.387358184764992,0.366288492706645,0.246353322528363
"ABCOUDE-BAAMBRUGGE",1930,1003,11184,0,110,0,110,0,1,0
"ABCOUDE-PROOSTDIJ",1889,1004,10712,224,202,160,586,0.382252559726962,0.344709897610922,0.273037542662116
"ABCOUDE-PROOSTDIJ",1930,1004,10712,0,100,0,100,0,1,0
"ACHTKARSPELEN",1889,59,10199,2355,868,2011,5234,0.449942682460833,0.165838746656477,0.38421857088269
"ACHTKARSPELEN",1899,59,10199,2506,967,2203,5676,0.441508104298802,0.170366455250176,0.388125440451022
"ACHTKARSPELEN",1930,59,10199,2922,1494,2200,6616,0.441656590084643,0.225816203143894,0.332527206771463
"ACHTTIENHOVEN",1889,1005,10524,142,45,130,317,0.44794952681388,0.141955835962145,0.410094637223975
"ACHTTIENHOVEN",1930,1005,10524,0,21,0,21,0,1,0
"ADORP",1889,1,10996,299,192,262,753,0.397078353253652,0.254980079681275,0.347941567065073
"ADORP",1930,1,10996,0,55,0,55,0,1,0
"ADUARD",1889,2,10999,444,271,391,1106,0.401446654611212,0.24502712477396,0.353526220614828
"ADUARD",1930,2,10999,0,94,0,94,0,1,0
"AENGWIRDEN",1930,1006,10157,0,311,0,311,0,1,0
"AKERSLOOT",1930,360,10346,0,65,0,65,0,1,0
"ALBLASSERDAM",1899,482,11327,1244,509,188,1941,0.640906749098403,0.262235960844925,0.0968572900566718
"ALBLASSERDAM",1930,482,11327,1356,664,144,2164,0.626617375231054,0.306839186691312,0.066543438077634
