JAAR,GEMEENTE,PROVINCIE,howmuch,temp,district
1871,Amsterdam,Noord-Holland,1,1850,Amsterdam
1871,Delfzijl,Groningen,1,1850,Appingedam
1871,Den Haag,Zuid-Holland,2,1850,Den Haag
1871,Harlingen,Friesland,1,1850,Leeuwarden
1871,Heerenveen,Friesland,1,1850,NA
1871,Hoorn,Noord-Holland,1,1850,Hoorn
1871,Loppersum,Groningen,1,1850,Appingedam
1871,Rotterdam,Zuid-Holland,1,1850,Rotterdam
1871,Vlaardingen,Zuid-Holland,2,1850,Delft
1871,Weststellingwerd,Friesland,1,1850,NA
1872,Almelo,Overijssel,1,1850,Almelo
1872,Amsterdam,Noord-Holland,5,1850,Amsterdam
1872,Arnhem,Gelderland,1,1850,Arnhem
1872,Borne,Overijssel,1,1850,Almelo
1872,Delfshaven,Zuid-Holland,1,1850,Delft
1872,Den Haag,Zuid-Holland,2,1850,Den Haag
1872,Dordrecht,Zuid-Holland,1,1850,Dordrecht
1872,Enschede,Overijssel,2,1850,Almelo
1872,Gramsbergen,Overijssel,1,1850,Almelo
1872,Heerenveen,Friesland,1,1850,NA
1872,Hellendoorn,Overijssel,1,1850,Zwolle
1872,Leeuwarden,Friesland,1,1850,Leeuwarden
1872,Leiden,Zuid-Holland,1,1850,Leiden
1872,Lemsterland,Friesland,1,1850,Sneek
1872,Oldemarkt,Overijssel,1,1850,Steenwijk
1872,Rotterdam,Zuid-Holland,4,1850,Rotterdam
1872,Schiedam,Zuid-Holland,1,1850,Delft
1872,Schoonhoven,Zuid-Holland,1,1850,Gouda
1872,Utrecht,Utrecht,3,1850,Utrecht
1872,Veenendaal,Utrecht,1,1850,Amersfoort
1872,Vriezenveen,Overijssel,1,1850,Almelo
1872,Weststellingwerf,Friesland,1,1850,Steenwijk
1872,Wierden,Overijssel,1,1850,Almelo
1872,Woerden,Zuid-Holland,1,1850,Gouda
1872,Zaandam,Noord-Holland,1,1850,Alkmaar
1872,Zwollerkerspel,Overijssel,1,1850,Zwolle
1873,Almelo,Overijssel,3,1850,Almelo
1873,Amsterdam,Noord-Holland,6,1850,Amsterdam
1873,Arnhem,Gelderland,2,1850,Arnhem
1873,Haarlem,Noord-Holland,1,1850,Haarlem
1873,Hengelo,Overijssel,1,1850,Almelo
1873,Hengelo,Overijssel,1,1850,Zutphen
1873,Leiden,Zuid-Holland,1,1850,Leiden
