"District","Date","Aanbevolen.door","Aantal.stemmen","Percentage","name"
"Appingedam",1869-06-08,"(AH)*",969,70.0651,"dr. R.  Westerhoff"
"Appingedam",1873-06-10,"(AH)*",939,76.2175,"dr. R.  Westerhoff"
"Sneek",1869-06-08,"AK",386,6.9015,"mr. J.B.  Oosting"
"Assen",1869-06-08,"(AH)*",637,79.2289,"mr. L.  Oldenhuis Gratama"
"Assen",1873-06-10,"(AH)*",775,77.8112,"mr. L.  Oldenhuis Gratama"
"Assen",1877-06-12,"(AH)*",638,77.8999,"mr. L.  Oldenhuis Gratama"
"Assen",1881-06-14,"(AH)*",806,63.8669,"mr. L.  Oldenhuis Gratama"
"Assen",1884-10-28,"(AH)*",1005,34.8112,"mr. L.  Oldenhuis Gratama"
"Steenwijk",1871-06-13,"(AH)*",523,78.1764,"jhr. C.M.  Storm van s Gravesande"
"Arnhem",1869-06-08,"(AH)*",1181,54.3989,"mr. W.H.  Dullert"
"Deventer",1873-06-10,"(AH)*",903,56.5789,"mr. W.H.  Dullert"
"Arnhem",1873-06-10,"(AH)*",1185,53.2824,"mr. W.H.  Dullert"
"Arnhem",1877-06-12,"(AH)*",1382,73.6674,"mr. W.H.  Dullert"
"Nijmegen",1871-06-13,"(DT)*",1206,71.0247,"jhr. J.A.C.A. van Nispen van Sevenaer"
"Den Bosch",1869-06-08,"AK/DT/DZH",1574,70.6463,"mr. F.J.E. van Zinnicq Bergman"
"Den Bosch",1873-06-10,"(DT)*",1474,84.6154,"mr. F.J.E. van Zinnicq Bergman"
"Den Bosch",1877-06-12,"(DT)*",1135,97.6764,"mr. F.J.E. van Zinnicq Bergman"
"Den Bosch",1869-06-08,"(AH)*",649,29.1293,"mr. P.F. van Cooth"
"Breda",1888-04-10,"Lib",596,21.728,"mr. P.F. van Cooth"
"Den Bosch",1879-06-10,"(DT)*",1344,92.562," P.G.J. van der Schrieck"
"Den Bosch",1883-06-12,"(DT)*",1132,91.1433," P.G.J. van der Schrieck"
"Den Bosch",1884-10-28,"(DT)*",1265,45.8666," P.G.J. van der Schrieck"
"Den Bosch",1886-06-15,"(DT)*",1420,43.0564," P.G.J. van der Schrieck"
"Den Bosch",1887-09-01,"(DT)*",1256,46.4497," P.G.J. van der Schrieck"
"Den Bosch",1888-03-06,"Ka",1485,66.4132," P.G.J. van der Schrieck"
"Den Bosch",1891-06-09,"Ka",837,89.3276," P.G.J. van der Schrieck"
"Den Bosch",1881-06-14,"(AH)*",98,6.9209," H.S.J.  Rose"
"Den Bosch",1884-10-28,"(AH)*",88,3.1907," H.S.J.  Rose"
"Amsterdam",1888-03-06,"Lib",5415,3.863,"mr. J.D.  Veegens"
"Tilburg",1888-03-06,"Lib",76,5.3786,"mr. J.D.  Veegens"
"Groningen",1888-03-06,"Lib",2372,23.5738,"mr. J.D.  Veegens"
"Amsterdam",1888-03-20,"Lib",728,12.6896,"mr. J.D.  Veegens"
"Groningen",1888-03-20,"Lib",3738,67.0133,"mr. J.D.  Veegens"
"Groningen",1891-06-09,"Lib",2387,30.9437,"mr. J.D.  Veegens"
"Groningen",1894-04-10,"Lib(VT)",2123,31.9392,"mr. J.D.  Veegens"
"Hoogezand",1897-06-15,"Lib",1705,47.2823,"mr. J.D.  Veegens"
"Hoogezand",1897-06-25,"Lib(CHK)",2800,64.2939,"mr. J.D.  Veegens"
"Hoogezand",1901-06-14,"Lib(VL)",1016,28.1909,"mr. J.D.  Veegens"
"Amsterdam VII",1909-06-11,"VD",221,5.8667,"mr. J.D.  Veegens"
"Groningen",1888-03-06,"AR(Ka)",1643,16.3288," A.  Brummelkamp jr."
"Groningen",1888-03-20,"AR(Ka)",1840,32.9867," A.  Brummelkamp jr."
"Wolvega",1891-06-09,"AR(Ka)",737,35.2463," A.  Brummelkamp jr."
"Veendam",1891-06-09,"AR",518,32.2741," A.  Brummelkamp jr."
"Groningen",1891-06-09,"AR(Ka)",1103,14.2987," A.  Brummelkamp jr."
"Winschoten",1891-06-09,"AR",292,13.0824," A.  Brummelkamp jr."
"Groningen",1891-06-23,"AR",1318,33.3924," A.  Brummelkamp jr."
"Wolvega",1891-06-23,"AR",919,43.5545," A.  Brummelkamp jr."
"Veendam",1891-06-23,"AR",607,31.2887," A.  Brummelkamp jr."
"Veendam",1891-07-09,"AR",317,17.2002," A.  Brummelkamp jr."
"Franeker",1894-04-10,"AR(VT)",806,37.4884," A.  Brummelkamp jr."
"Zwolle",1894-04-10,"AR(VT)",885,38.0482," A.  Brummelkamp jr."
"Groningen",1894-04-10,"AR(VT)",582,8.7558," A.  Brummelkamp jr."
"Rotterdam",1894-04-10,"AR(VT)",543,2.1834," A.  Brummelkamp jr."
"Utrecht",1894-04-10,"AR(VT)",1029,28.3706," A.  Brummelkamp jr."
"Utrecht",1894-05-15,"AR(VT)",556,22.2133," A.  Brummelkamp jr."
"Zwolle",1897-06-15,"AR",545,11.6007," A.  Brummelkamp jr."
"Loosduinen",1897-06-15,"AR",1603,27.0229," A.  Brummelkamp jr."
"Utrecht II",1897-06-15,"AR",396,11.5891," A.  Brummelkamp jr."
"Groningen",1897-06-15,"AR(Ka)",1005,23.2908," A.  Brummelkamp jr."
"Loosduinen",1897-06-25,"AR",3017,55.5822," A.  Brummelkamp jr."
"Loosduinen",1901-06-14,"AR",1817,33.8866," A.  Brummelkamp jr."
"Loosduinen",1901-06-27,"AR(VA)",2642,51.4709," A.  Brummelkamp jr."
"Amsterdam",1888-03-06,"Rad",488,0.3481," J.A.  Nieuwenhuis"
"Dokkum",1888-03-06,"Rad",64,2.2695," J.A.  Nieuwenhuis"
"Groningen",1888-03-06,"Rad",935,9.2924," J.A.  Nieuwenhuis"
"Groningen",1891-06-09,"Rad",904,11.719,"dr. A.L.  Poelman"
"Amsterdam",1891-06-09,"AKS",504,0.4226," F. van der Goes"
"Groningen",1891-06-09,"V",92,1.1926," F. van der Goes"
"Amsterdam III",1897-06-15,"SDAP",270,9.6636," F. van der Goes"
"Rotterdam V",1897-06-15,"SDAP",61,2.2993," F. van der Goes"
"Groningen",1897-06-15,"SDAP",215,4.9826," F. van der Goes"
"Zutphen",1905-06-16,"SDAP",623,8.3289," F. van der Goes"
"Rotterdam III",1905-06-16,"SDAP",204,5.2987," F. van der Goes"
"Deventer",1905-06-16,"SDAP",222,3.4606," F. van der Goes"
"Leiden",1905-06-16,"SDAP",194,3.6187," F. van der Goes"
"Amersfoort",1905-06-16,"SDAP",330,3.8751," F. van der Goes"
"Groningen",1894-04-10,"AR(VT)",508,7.6425," J.  Haspers"
"Appingedam",1888-03-06,"Prot",137,4.4208," A.M.  Prins"
"Groningen",1888-03-06,"Prot",103,1.0237," A.M.  Prins"
"Zuidhorn",1888-03-06,"Rad",341,12.2004,"dr. J.H.  Smit"
"Zuidhorn",1888-03-06,"Lib",129,4.6154," E.  Warmolts"
"Zuidhorn",1891-06-09,"Lib",1265,55.8499," G.  Zijlma"
"Zuidhorn",1894-04-10,"Lib(VT)",1015,96.9436," G.  Zijlma"
"Zuidhorn",1897-06-15,"Lib",1373,30.0372," G.  Zijlma"
"Zuidhorn",1897-06-25,"Lib(CHK)",3022,56.6342," G.  Zijlma"
"Zuidhorn",1901-06-14,"Lib(VL)",1880,39.4958," G.  Zijlma"
"Zuidhorn",1901-06-27,"Lib(VL/VD/SDAP)",2811,53.9125," G.  Zijlma"
"Zuidhorn",1905-06-16,"Lib",2726,38.6831," G.  Zijlma"
"Zuidhorn",1905-06-28,"Lib(VL)",3950,54.3105," G.  Zijlma"
"Meppel",1888-03-06,"AR",873,40.0275," M.  Noordtzij"
"Amsterdam",1891-06-09,"AR(Ka)",2240,1.8782," M.  Noordtzij"
"Zuidhorn",1891-06-09,"AR",882,38.9404," M.  Noordtzij"
"Kampen",1891-06-09,"AR",1475,62.4471," M.  Noordtzij"
"Kampen",1905-06-16,"AR(Ka)",2358,39.1825," M.  Noordtzij"
"Kampen",1905-06-28,"AR(Ka/CHP/FCH)",3127,49.3451," M.  Noordtzij"
"Winschoten",1888-03-06,"AR",512,20.3417," P.  Dijkhuis"
"Winschoten",1897-07-27,"AR",436,11.2516," P.  Dijkhuis"
"Winschoten",1891-06-09,"Rad",725,32.4821," B.L.  Tijdens"
"Winschoten",1894-04-10,"Lib(VT)",995,89.6396," B.L.  Tijdens"
