"Regio","RegioCode","RegioUitslag","Kandidaat","AantalStemmen","main","side"
"Breda","KD61","Kiesgerechtigden","",3638,1860-06-12,1862-03-11
"Breda","KD61","AantalStembriefjes","",2363,1860-06-12,1862-03-11
"Breda","KD61","Opkomst","",2361,1860-06-12,1862-03-11
"Breda","KD61","AantalGeldigeStemmen","",2341,1860-06-12,1862-03-11
"Breda","KD61","AantalBlancoStemmen","",18,1860-06-12,1862-03-11
"Breda","KD61","","N.R.H. Guljé",1216,1860-06-12,1862-03-11
"Breda","KD61","","mr. P.J.J. Hollingérus Pijpers",1125,1860-06-12,1862-03-11
"Alkmaar","KD34","Kiesgerechtigden","",2871,1860-06-12,1860-06-12
"Alkmaar","KD34","Opkomst","",1103,1860-06-12,1860-06-12
"Alkmaar","KD34","AantalStembriefjes","",1103,1860-06-12,1860-06-12
"Alkmaar","KD34","AantalGeldigeStemmen","",1091,1860-06-12,1860-06-12
"Alkmaar","KD34","AantalBlancoStemmen","",5,1860-06-12,1860-06-12
"Alkmaar","KD34","","jhr.mr. C.van Foreest",525,1860-06-12,1860-06-12
"Alkmaar","KD34","","mr. P. Blussé van Oud-Alblas",507,1860-06-12,1860-06-12
"Alkmaar","KD34","","J.L. Kikkert",45,1860-06-12,1860-06-12
"Almelo","KD15","Kiesgerechtigden","",1876,1860-06-12,1860-06-12
"Almelo","KD15","AantalStembriefjes","",1240,1860-06-12,1860-06-12
"Almelo","KD15","Opkomst","",1239,1860-06-12,1860-06-12
"Almelo","KD15","AantalGeldigeStemmen","",1229,1860-06-12,1860-06-12
"Almelo","KD15","AantalBlancoStemmen","",8,1860-06-12,1860-06-12
"Almelo","KD15","","dr. W.R.baron van Hoëvell",812,1860-06-12,1860-06-12
"Almelo","KD15","","mr. B. Brouwer",320,1860-06-12,1860-06-12
"Almelo","KD15","","mr. A.A.van Wulfften Palthe",44,1860-06-12,1860-06-12
"Almelo","KD15","","S.A.van Hoogstraten",24,1860-06-12,1860-06-12
"Amersfoort","KD26","Kiesgerechtigden","",2763,1860-06-12,1860-06-12
"Amersfoort","KD26","Opkomst","",1070,1860-06-12,1860-06-12
"Amersfoort","KD26","AantalStembriefjes","",1070,1860-06-12,1860-06-12
"Amersfoort","KD26","AantalGeldigeStemmen","",1039,1860-06-12,1860-06-12
"Amersfoort","KD26","AantalBlancoStemmen","",12,1860-06-12,1860-06-12
"Amersfoort","KD26","","mr. J.K.baron van Goltstein",725,1860-06-12,1860-06-12
"Amersfoort","KD26","","jhr.mr. H.A.M.van Asch van Wijck",598,1860-06-12,1860-06-12
"Amersfoort","KD26","","mr. G. Groen van Prinsterer",210,1860-06-12,1860-06-12
"Amersfoort","KD26","","mr. A.W. Engelen",78,1860-06-12,1860-06-12
"Amsterdam","KD72","Kiesgerechtigden","",4318,1860-06-12,1860-06-12
"Amsterdam","KD72","AantalStembriefjes","",1365,1860-06-12,1860-06-12
"Amsterdam","KD72","Opkomst","",1364,1860-06-12,1860-06-12
"Amsterdam","KD72","AantalGeldigeStemmen","",1358,1860-06-12,1860-06-12
"Amsterdam","KD72","AantalBlancoStemmen","",30,1860-06-12,1860-06-12
"Amsterdam","KD72","","mr. J. Heemskerk Azn.",1232,1860-06-12,1860-06-12
