Indexnummer,Re,Dugobo,Fogobo,Duprbo,Foprbo,Dush,Fosh,Cash,Misc,Debt,TA11,TL11,NW11,TA0,TL0,NW0,W_DEFLATED,W_DEFLATED2
00001,25000,4914,10,7382,0,15983,0,200,5585,-16800.82,59078.29,-16800.82,21138.73,29539.14,-100082.39,19456.57,9707.89967416739,10547.2172165655
00003,25000,16696,2776,51571,11136.88,38509,2451,403,2112,-3845.98,145370.71,-3845.98,141524.72,145374.04,-3845.98,141928.06,98172.12930566,97893.1376345687
00009,350750,34738,264565,11565,3268,17302.25,2700,27816,23734,0,736355,-5003,731352,736230,-4988,731242,838869.458158945,838995.648449434
00014,154726,214,196399,178442,42401,19915,367,0,0,-307367,592479.7,-307367,132355.3,278264.53,-145909.24,132355.29,132740.365685903,132740.375714998
00018,0,50393,27915.71,115032.5,22144.55,11772.07,3077.96,1286.24,5629.44,-1691.68,237214.9,-1691.71,235523.19,237214.59,-1691.71,235522.88,239963.877637522,239964.193482853
00019,105745,3457.75,3755,52325.91,0,1611.95,367,321.21,10536.49,-8109.16,178082.32,-7956.4,169925.83,178071.32,-8155.49,169915.83,167490.518865321,167500.376129289
00022,0,3265.75,0,1344.94,10164.44,16737.5,61586.67,21379.56,3218,-39403.02,117696.86,-39403.02,38457.04,58848.43,-20391.39,38457.04,44575.416154433,44575.416154433
00029,0,0,0,254,0,5408,0,0,50,-10261.8,5714,-10261.8,-4547.68,5714.08,-10261.76,-4547.68,-3145.64596317856,-3145.64596317856
00031,46834,0,0,130,0,0,0,0,1075,-8979.74,48039.75,-8979.74,34066.69,45039.75,-10973.06,34066.69,28952.2244762451,28952.2244762451
00034,104000,47271,222,130246,23,34909,0,24037,26036,-43327,366816.595,-44028.51,159595.93,183610.29,-24013.36,158696.13,109770.6612397,110393.056007509
00036,53000,433,21713,96314,12067,51919,0,1898,37581,-3661.15,178427.99,-4224.35,174203.64,178427.99,-4224.35,174203.64,178976.914008914,178976.914008914
00038,61392,101434,160,68978,50954,133188.9,50408.5,438,24290,-421582.54,210627.58,-50831.7,157385.97,210627.57,-50831.72,159795.85,81250.7607411263,80025.4186355908
00041,38950,2380.25,23779.09,31374.38,5666,34121,20938,0,1851.5,12401.14,144133.33,-3984.83,140084.99,144133.33,-3984.83,140043.99,118021.431911329,118055.984473766
00042,0,209,0,1250,0,3068.35,33,916.25,24000,-131074.82,29550.2,-131074.82,-101524.61,29550.2,-131074.81,-101524.62,-110448.686191995,-110448.67531299
00046,342886.71,0,0,42897.51,0,478.82,0,6050,34020,-57631.76,378051.85,-57631.76,320420.09,378051.85,-57631.76,320420.09,326870.964314817,326870.964314817
00047,1214762,17793.01,83051,67686.9,16281,63220,31575,113659.16,100140.22,-417464.92,1453974.7,-9639.53,1444294.13,1453974.66,-9639.53,1444344.13,1227503.33163295,1227460.83818191
00049,101945,8303,33993,46177,2327,74,20844,5189,7179,-17375,163011.79,-29742.5525,156309.38,195873.165,-29742.5525,171130.6025,183627.382468442,167723.842990999
00054,0,0,0,13793.8,0,4248,0,2661.76,4783,-510,15730.78,-607.87,15128.585,15730.78,-607.87,15143.505,12869.9957676293,12857.3157218372
00063,0,0,0,0,0,0,0,146.92,1206.01,-2054.55,1352.93,-2054.55,-701.62,1352.93,-2054.55,-701.62,-423.533441558171,-423.533441558171
00066,288418.71,200,9725.8,36335.5,2926,190022.5,0,4614,39327,-164635.62,341676.97,-164635.62,177041.35,352096,-164635,187460.88,203938.78754134,192603.375507904
00068,32000,27896,6033,26583,8585,7057,5708.4,3394,9196,-10084,58421,-1405,57015,62834,-5817,57015,35198.7679895088,35198.7679895088
00076,115148,419,2,24125,32708.75,122250.25,5070,2650,9572.21,-26009,311945.73,-22440,286116.49,311945.73,-25829.43,286116.44,331636.532131044,331636.590085864
