b1_nummer,n,polfam
00861,4,1
04025,1,0
00006,2,1
00055,1,0
00126,2,1
00178,1,0
00189,2,1
00416,3,1
00515,3,1
00529,1,0
00577,1,0
00642,1,0
00838,1,0
00844,2,1
00855,1,0
01019,2,1
01089,1,0
01136,4,1
01139,2,1
01525,2,1
02131,1,0
02908,1,0
02909,1,0
02910,1,0
02914,1,0
04099,4,1
04343,2,1
04346,1,0
04350,4,1
04351,1,0
04352,1,0
04354,1,0
04357,1,0
04358,1,0
04362,1,0
04363,2,1
04365,1,0
04366,1,0
04367,1,0
04372,1,0
04375,1,0
04377,1,0
04390,1,0
04391,2,1
04394,3,1
00974,2,1
01259,1,0
04380,1,0
04064,1,0
01257,1,0
04054,1,0
00054,1,0
00167,3,1
00222,1,0
00274,1,0
00315,2,1
00327,1,0
00332,1,0
00335,2,1
00349,1,0
00368,1,0
00382,2,1
00464,1,0
00538,4,1
00549,1,0
00561,2,1
00790,1,0
00828,1,0
00839,1,0
00895,1,0
00943,1,0
01055,1,0
01080,1,0
01100,1,0
01190,1,0
01434,2,1
01466,1,0
01504,1,0
01527,1,0
01557,1,0
01582,1,0
01602,3,1
01608,1,0
00414,3,1
01195,1,0
00779,2,1
00587,1,0
00425,1,0
00009,2,1
00138,1,0
00616,1,0
00663,1,0
00910,1,0
01312,1,0
01337,3,1
01395,3,1
01581,1,0
00067,1,0
01054,1,0
01585,1,0
01063,1,0
00827,1,0
00127,1,0
00116,1,0
00963,2,1
01074,2,1
00078,1,0
00455,1,0
01116,1,0
01430,1,0
01556,1,0
01018,1,0
00791,1,0
00037,8,1
00183,1,0
00184,1,0
00201,2,1
00223,1,0
00298,2,1
00377,2,1
00383,2,1
00573,2,1
00586,1,0
00807,2,1
01169,1,0
01233,1,0
01255,1,0
00330,2,1
00419,1,0
01160,2,1
01041,1,0
01200,3,1
00301,1,0
00611,1,0
00918,1,0
01382,1,0
01572,1,0
01202,1,0
00878,2,1
01000,1,0
01092,1,0
00113,2,1
00625,1,0
00082,2,1
00105,1,0
00569,1,0
00700,1,0
01002,1,0
00313,2,1
00851,1,0
00537,4,1
01053,1,0
00903,1,0
00265,1,0
00686,1,0
00953,1,0
00814,3,1
01603,3,1
00268,1,0
00130,2,1
00421,3,1
00497,1,0
00350,2,1
00578,1,0
00674,3,1
00891,2,1
00947,1,0
00684,1,0
01437,1,0
00437,5,1
00110,1,0
00823,1,0
00692,1,0
01586,1,0
00299,1,0
00475,3,1
00592,1,0
00646,1,0
01249,1,0
01331,1,0
00870,2,1
00775,1,0
00132,2,1
00023,1,0
00285,1,0
00857,3,1
01571,1,0
00691,1,0
00255,1,0
00931,1,0
01509,3,1
00112,2,1
00519,1,0
00583,1,0
00628,3,1
00631,2,1
00954,2,1
01068,2,1
01083,2,1
01123,1,0
01601,2,1
00614,1,0
01166,1,0
01303,1,0
00508,2,1
01414,3,1
01334,1,0
00998,1,0
00168,3,1
00232,1,0
00322,2,1
00440,1,0
00668,1,0
00765,1,0
00968,2,1
01281,2,1
00808,1,0
00736,1,0
01142,1,0
00930,1,0
00607,3,1
00528,1,0
00711,1,0
00784,2,1
00841,2,1
01168,1,0
01065,2,1
01121,1,0
01148,2,1
00280,5,1
01339,2,1
00202,2,1
01272,2,1
00031,2,1
00215,1,0
00102,3,1
00409,3,1
00650,4,1
00863,4,1
00973,4,1
01093,1,0
00645,1,0
00088,1,0
00049,1,0
00520,1,0
00683,1,0
00778,2,1
01203,4,1
01343,2,1
00395,2,1
00909,2,1
00889,2,1
00766,2,1
01191,1,0
00041,8,1
00666,1,0
00978,2,1
00022,1,0
00066,1,0
00273,2,1
