politician,vote,law,date,house,b1_nummer,re,dugobo,fogobo,duprbo,foprbo,dush,fosh,cash,misc,debt,ta11,tl11,nw11,ta0,tl0,nw0,w_deflated,begin_periode,einde_periode,class,date_of_birth,date_of_death,tenure,age_of_death,age_of_entrance,age_of_vote,long_elec_horiz,kiesdistrict,strikes,rk_pct,hervormd_pct,gereformeerd_pct,overig_pct,kiesdistrict_corrected,aandeel_gem,percentage_aangesl,industry_share,services_share,agricul_share,side,kiesgerechtigden,opkomst,turnout,socialistdum,socialistpercentage,truename,aantal_stemmen,ncm,tvs,total,share_re,share_dugobo,share_fogobo,share_duprbo,share_foprbo,share_dush,share_fosh,share_cash,share_misc,share_bonds,share_shares,share_domestic,share_foreign,wealth_timevote
Dullert,1,Kieswet 1872,1874-06-19,Tweede Kamer,00349,1068152.64,61355,383302,197774.34,0,146901,26010,13444,34129,-78588.21,1931055.16,-78588.21,1852546.1,1931055.16,-78509.06,1852546.1,1447145.4262706062,1849-02-13,1881-02-23,liberal,1817-06-27,1881-02-24,9257,23253,11554,20811,2441,Arnhem,4,40.9,45.6,3.9,9.6,ARNHEM,2.11668,5.59,0.297175541607613,0.641526624822839,0.0612978335695485,1873-06-10,2980,2250,0.7550335570469798,0,0,W.H. Dullert,1185,0.04602578749795985,0.19340623469887383,1931067.98,0.5531408790694152,0.031772573847969866,0.19849223536915567,0.10241707803575097,0,0.0760724125310182,0.013469230637856674,0.006961950661105157,0.017673639847728198,0.3326818872528765,0.08954164316887488,0.21026206441473902,0.21196146600701235,996741.3788944408
Moens,1,Kieswet 1872,1874-06-19,Tweede Kamer,00931,0,0,0,0,0,0,0,0,1900,-150,1900,-150,1750,1900,-150,1750,1738.58956775,1866-09-20,1880-10-30,confessional,1827-04-15,1899-06-24,2829,26368,14403,17232,2325,Sneek,2,14.6,58.1,15.9,11.4,SNEEK,0.24409,4.96,0.309283196239718,0.634312573443008,0.0564042303172738,1873-06-10,4153,2556,0.615458704550927,0,0,A. Moens,1450,0.29118432769367764,0.6455921638468388,1900,0,0,0,0,0,0,0,0,1,0,0,0,0,1738.58956775
de Bruyn Kops,1,Kieswet 1872,1874-06-19,Tweede Kamer,00232,26000,0,421.6,1054,4,34242.8,0,2975.53,4330.18,-41805.81,69038.26,-41805.81,27232.45,69038.26,-41805.81,27232.45,25890.95000500757,1868-02-25,1887-08-16,confessional,1822-12-22,1887-10-01,2306,23659,16501,18807,4806,Alkmaar,0,34.7,54.6,3.6,7.2,ALKMAAR,0.44921,6.11,0.294545454545455,0.649242424242424,0.0562121212121212,1873-06-10,3330,2472,0.7423423423423423,0,0,J.L. de Bruijn Kops,1254,0.008987620824147871,0.21265050025436663,69028.11,0.3766581469491197,0,0.006107656721298034,0.015269141803245083,5.79474072229415e-5,0.49607036901343526,0,0.04310606215351978,0.0627306759521592,0.021434745931766058,0.49607036901343526,0.5113395108166804,0.006165604128520975,15016.429800780874
van Kerkwijk,1,Kieswet 1872,1874-06-19,Tweede Kamer,00684,25524,148610,0,31025,0,99332,2000,2258,11869,-1524,320618.47,-2159.96,318458.51,306895.97,-2159.96,319236.01,285890.36377138627,1863-03-04,1901-05-20,liberal,1830-12-19,1901-05-21,4125,25720,11763,15888,9831,Zierikzee,0,5.4,82.5,10.2,1.9,ZIERIKZEE,0.16795,4.13,0.31493890421758,0.51714623571147,0.16791486007095,1873-06-10,1422,1009,0.709563994374121,0,0,J.J. van Kerkwijk,738,0.5070422535211268,0.7424547283702213,320618,0.07960875559076533,0.46351109419932757,0,0.09676624518897878,0,0.30981417138151945,0.006237952953358826,0.007042648884342115,0.037019131801707954,0.5602773393883064,0.3160521243348783,0.8700915107698258,0.006237952953358826,110729.53799378984
Mees,1,Kieswet 1872,1874-06-19,Tweede Kamer,00889,0,22456,7572,216713.1,14406,94026,0,650,5520,-3982.97,370399.09,-3982.97,366416.12,370399.09,-3982.97,366416.12,318232.4003098661,1873-10-04,1905-09-18,liberal,1834-07-05,1915-06-04,258,29553,14336,14594,11413,Rotterdam,0,26.9,55.7,7.5,10,ROTTERDAM,5.11721,4.4,0.279048857111906,0.707138988191962,0.0138121546961326,1873-09-30,2666,1028,0.38559639909977494,0,0,R.P. Mees,756,0.5319148936170213,0.7659574468085106,361343.1,0,0.06214592170156287,0.02095515314945823,0.5997432910715605,0.03986792607911982,0.2602125237758795,0,0.001798844367029563,0.015276339855389518,0.7227122920017015,0.2602125237758795,0.9221017365490028,0.06082307922857805,72082.32011030562
de Jong,1,Kieswet 1872,1874-06-19,Tweede Kamer,00650,61500,0,0,59611.43,0,0,0,13662.79,4000,-64051.52,138948.86,-64051.52,74897.04,138952.23,-63997.71,74954.5,68444.94087949368,1871-09-18,1886-05-17,confessional,1815-12-14,1886-12-14,1005,25933,20367,21372,4350,Hoorn,0,30.8,57.6,2.2,9.4,HOORN,0.25356,5.55,0.269636267791249,0.659462308908803,0.0709014232999473,1873-06-10,3725,1664,0.44671140939597315,0,0,K.H. de Jong,1265,0.06823821339950373,0.5231596360628619,138774.22,0.4431658848451823,0,0,0.4295569450867748,0,0,0,0.09845337267973836,0.028823797388304543,0.4295569450867748,0,0.4295569450867748,0,42810.2410313494
Oldenhuis Gratatna,1,Kieswet 1872,1874-06-19,Tweede Kamer,00998,185145,14103,0,8150.84,1200,1656,0,564,1301,-10266,217140,-9174.64,129308,135712,-5734.15,129308,122938.1478070287,1867-10-14,1886-02-19,liberal,1815-06-07,1887-07-05,2440,26326,19122,21562,4263,Assen,0,5.2,81.5,8,5.3,ASSEN,0.17645,4.64,0.307319223985891,0.531305114638448,0.161375661375661,1873-06-10,2287,1015,0.44381285526891123,0,0,L. Oldenhuis Gratama,775,0.7050592034445641,0.8342303552206674,212119.84,0.8728320745480479,0.06648600149802111,0,0.03842563713040704,0.005657179451012221,0.007806907642396864,0,0.0026588743419757436,0.006133325388139082,0.11056881807944038,0.007806907642396864,0.11271854627082502,0.005657179451012221,64394.894460056734
Bredius,1,Kieswet 1872,1874-06-19,Tweede Kamer,00202,0,0,4138.5,78,0,6058,0,1862,4619,-2552.97,16871,-2552.97,14318.2,16871.17,-2552.97,14318.2,9856.032881567842,1871-02-28,1878-09-12,liberal,1811-11-14,1878-09-13,1207,24410,21656,22863,1546,Dordrecht,0,10.2,78,6.4,5.4,DORDRECHT,1.00232,5.03,0.328899543732117,0.657799087464233,0.0133013688036501,1873-06-10,2137,1413,0.6612072999532054,0,0,J.P. Bredius,887,0.0036302708740575257,0.24769617425300194,16755.5,0,0,0.24699352451433856,0.004655187848766076,0,0.36155292292083197,0,0.11112768941541583,0.27567067530064754,0.25164871236310465,0.36155292292083197,0.366208110769598,0.24699352451433856,8585.672103354105
Rombach,1,Kieswet 1872,1874-06-19,Tweede Kamer,01121,2383,53324,134259,45986,32008,908,36416,3178,6714,-974.66,318134.85,-974.66,317159.39,318134.05,-974.66,317159.39,300778.4780736591,1869-09-21,1884-10-10,liberal,1812-05-24,1891-04-24,1732,28824,20939,22671,3766,Brielle,0,4.3,79.9,14.4,1.4,BRIELLE,0.10054,5.3,NA,NA,NA,1871-06-13,1182,639,0.5406091370558376,0,0,K.A. Rombach,533,0.04556962025316456,0.22489451476793249,315176,0.007560854887427977,0.16918800923928218,0.4259810391654187,0.14590577962789045,0.10155595603726172,0.0028809300200522883,0.11554179252227327,0.010083255070183008,0.02130238343021042,0.842630784069853,0.11842272254232555,0.3179747188872249,0.6430787877249536,147653.1905690536
Brouwer,1,Kieswet 1872,1874-06-19,Tweede Kamer,00215,0,170.95,11617.51,10706.77,6549.25,248.75,4781.2,669,3583,-25502.54,58984.91,-25502.54,13482.37,39082.54,-25502.54,13580,10038.496884793674,1871-06-24,1875-09-19,liberal,1826-06-14,1879-02-24,1091,19248,16446,17537,457,Almelo,4,50.9,41.3,4.7,3,ALMELO,NA,3.64,0.441624365482233,0.541355628545835,0.0170200059719319,1873-06-24,2201,1973,0.8964107223989096,0,0,B. Brouwer,1021,0.09633444410784611,0.30930021205695246,38326.43,0,0.004460368471574315,0.3031200662310578,0.27935735209358137,0.1708807733984094,0.006490299253022001,0.12474942226552277,0.017455317388027008,0.09348640089880535,0.7578185601946229,0.13123972151854477,0.2903080198181777,0.59875026189499,7834.945737563107
