politician,vote,law,date,house,b1_nummer
Nierstrasz,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00968
Heydenrijck,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00578
van Wassenaer van Catwijck,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,01509
Jonckbloet,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00646
van Sypesteyn,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,01334
Tak,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00368
Rombach,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,01121
Rutgers van Rozenburg,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,01148
de BruynKops,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00232
Westerhoff,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,01527
Taets van Amerongen,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00009
van Foreest,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00416
van Reenen,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,01092
Pyls,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,01065
Hoffman,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00589
Storm van 's Gravesande,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,01316
van Loon,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00841
Sandberg,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,01168
Kien,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00697
de Bieberstein,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00437
van Kerkwijk,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00684
Borret,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00168
Saaymans Vader,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,01166
Mackay,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00863
Godefroi,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00464
van Nispen van Sevenaer,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00974
Verheijen,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,01414
van Hardenbroek van Lockhorst,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00519
Heemskerk Az.,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00538
van den Heuvel,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00573
van Naamen van Eemnes,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00954
Begram,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00082
Bots,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00186
Smitz,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,01281
Kappeyne van de Coppello,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00674
van Lynden van Sandenburg,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00857
Viruly Verbrugge,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,01437
van Eck,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00368
van Kuyk,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00765
Wintgens,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,01557
Arnoldts,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00031
van Zinnicq Bergmann,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,01601
van der Doos de Willebois,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00322
Haffmans,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00508
Luyben,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00851
de Brauw,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00201
C. van Nispen tot Sevenaer,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00973
van der Maesen de Sombreff,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00870
van Zuylen van Nyevelt,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,01603
Dumbar,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00350
's Jacob,0,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00631
Bredius,1,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00202
Oldenhuis Gratama,1,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00998
Idzerda,1,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00625
Hingst,1,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00583
van Houten,1,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00607
Mirandolle,1,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00930
Blom,1,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00130
de Jong,1,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00650
Cremers,1,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00280
de Roo van Alderwerelt,1,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,01123
van Beyma thoe Kingma,1,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00110
Gevers Deynoot,1,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00455
de Ruiter Zylker,1,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,01142
Dam,1,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00285
van Delden,1,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00299
du Marchie van Voorthuysen,1,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00878
Lenting,1,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00808
Wybenga,1,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,01572
Fransen van de Putte,1,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00421
Bergsma,1,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00102
Smidt,1,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,01272
de Lange,1,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00784
van der Linden,1,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00828
Moens,1,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00931
Heemskerk Bz.,1,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00538
Stieltjes,1,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,01303
Dullert,1,Inkomstenbelasting 1872,1872-05-02,Tweede Kamer,00349
Plate,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,01036
Smit,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,01273
Goekoop,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00468
Roessingh,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,01120
Ferf,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00404
van Houten,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00607
van der Feltz,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00400
van Gijn,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00500
W.H. de Beaufort,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00071
Lucasse,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00849
Pijnacker Hordijk,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,01067
Rutgers van Rozenburg,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,01148
Cremer,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00279
van Delden,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00299
A. van Dedem,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00293
Rink,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,01113
Levy,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00809
Guyot,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00498
Schimmelpenninck van der Oye,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,01204
van der Kaay,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00666
Tydeman,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,01384
Conrad,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00264
Hartogh,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00525
Ae. Mackay,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00862
Roijaards van den Ham,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,01135
Goeman Borgesius,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00469
Kerdijk,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00682
Lieftinck,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00815
Bahlmann,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00057
Kolkman,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00727
Schepel,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,01191
Kielstra,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00696
Veegens,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,01391
Valette,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,01389
Hintzen,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00584
Mees,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00889
Roell,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,01118
Land,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00781
van Alphen,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00019
Schaepman,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,01180
Tijdens,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,01385
de Kanter,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00671
de Meijier,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00917
van Beuningen,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00107
van Berckel,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00089
Bool,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00160
Smeenge,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,01269
van Kerkwijk,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00684
Zijp,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,01613
Houwing,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00609
Heldt,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00553
Hennequin,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00562
van Velzen,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,01404
Viruly Verbrugge,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,01437
Gleichman,1,Inkomstenbelasting 1893,1893-06-23,Tweede Kamer,00462
