,Naam,Aanbevolen door,Aantal stemmen,Procentueel,District,Verkiezingdatum,Type,Omvang electoraat,Opkomst,Aantal stembriefjes,Aantal stemmen geldig,Aantal stemmen blanco,Aantal zetels,Kiesdrempel,counts,won,min_stem_win,min_pct_win,margin,close_cand_5pct,close_cand_10pct,close_cand_20pct,Naam_win,Aanbevolen door_win,Aantal stemmen_win,Procentueel_win
0,J.F. Zijlker,,207.0,0.2871,Winschoten,30/11/1848,algemeen,1183,722,722,721,1,1.0,361,2,0,257.0,0.3564,-0.06929999999999997,0,1,1,mr. R. de Sitter,,257.0,0.3564
1,mr. S.C.H. Piccardt,,181.0,0.251,Winschoten,30/11/1848,algemeen,1183,722,722,721,1,1.0,361,3,0,257.0,0.3564,-0.1054,0,0,1,mr. R. de Sitter,,257.0,0.3564
2,mr. W.J. Mees,,133.0,0.19440000000000002,Appingedam,27/12/1848,tussentijds,1586,686,687,684,3,1.0,342,2,0,225.0,0.3289,-0.1345,0,0,1,dr. R. Westerhoff,,225.0,0.3289
3,mr. D. Bonthuis,,117.0,0.1711,Appingedam,27/12/1848,tussentijds,1586,686,687,684,3,1.0,342,3,0,225.0,0.3289,-0.15780000000000002,0,0,1,dr. R. Westerhoff,,225.0,0.3289
4,P.W. Wiertsema,,101.0,0.1477,Appingedam,27/12/1848,tussentijds,1586,686,687,684,3,1.0,342,4,0,225.0,0.3289,-0.18120000000000003,0,0,1,dr. R. Westerhoff,,225.0,0.3289
5,W. Waalkens,,98.0,0.1433,Appingedam,27/12/1848,tussentijds,1586,686,687,684,3,1.0,342,5,0,225.0,0.3289,-0.18560000000000001,0,0,1,dr. R. Westerhoff,,225.0,0.3289
6,I.T. ter Brugghen Hugenholtz,,257.0,0.3985,Dokkum,30/11/1848,algemeen,984,650,650,645,5,1.0,323,2,0,341.0,0.5287,-0.13019999999999993,0,0,1,mr. B. Albarda,,341.0,0.5287
7,mr. A.F. Jongstra,,227.0,0.3834,Heerenveen,30/11/1848,algemeen,724,592,594,592,2,1.0,296,2,0,293.0,0.4949,-0.11149999999999999,0,0,1,mr. N. van Heloma,,293.0,0.4949
8,mr. A.F. Jongstra,,285.0,0.47259999999999996,Heerenveen,15/12/1848,herstemming,724,612,612,603,9,1.0,302,2,0,318.0,0.5274,-0.054800000000000015,0,1,1,mr. N. van Heloma,,318.0,0.5274
9,mr. A.F. Jongstra,,206.0,0.2865,Franeker,19/12/1848,vacature,1158,725,725,719,3,1.0,360,2,0,329.0,0.4576,-0.17110000000000003,0,0,1,mr. J. Dirks,,329.0,0.4576
