,Naam,name_in_all_elections,name_in_elected_people,Aanbevolen door,Aantal stemmen,Procentueel,District,Verkiezingdatum,Type,Omvang electoraat,Opkomst,Aantal stembriefjes,Aantal stemmen geldig,Aantal stemmen blanco,Aantal zetels,Kiesdrempel,totaal aantal stemmen,hoeveelste_in_verkiezing,gewonnen,marginal_winner,marginal_loser,margin,consequential_election,hoelang_tussen_1_en_2,hoelang_tussen_1_en_laatst,hoeveel_distr_deze_verk,hoeveelste_keer_prob,hoeveelste_keer_prob_alg,hoeveelste_keer_gewonnen,hoeveelste_keer_gewonnen_alg,hoeveelste_keer_gewonnen_tweedeproxy,hoevaak_gewonnen_alltime,hoevaak_gewonnen_verleden,hoevaak_gewonnen_toekomst,name_politician_data,b1-nummer,naam,deflated_wealth,verk_2_gewonnen,verk_3_gewonnen,verk_4_gewonnen,verk_5_gewonnen,verk_6_gewonnen,verk_7_gewonnen,verk_8_gewonnen,verk_9_gewonnen,verk_10_gewonnen
0,S.A. de Moraaz,S.A. de Moraaz,S.A. de Moraaz,,503.0,52.84%,Alkmaar,1848-11-30,algemeen,1107,956,956,952,4,1.0,476,941.0,1,1,1,0,0.06907545164718384,1,635 days 00:00:00,2021 days,1,1,1,1,1,1,2,0,1,S.A. de Moraaz,00943,S.A. de Moraaz,,1.0,0.0,0.0,,,,,,
1,G. van Leeuwen,,,,438.0,46.01%,Alkmaar,1848-11-30,algemeen,1107,956,956,952,4,1.0,476,941.0,2,0,0,1,-0.06907545164718384,1,,0 days,1,1,1,,,0,0,0,0,,,,12355.9538897633,,,,,,,,,
2,mr. H.J. Smit,mr. H.J. Smit,H.J.  Smit,,1566.0,79.86%,Alkmaar,1850-08-27,algemeen,2833,1977,1979,3922,20,2.0,981,3781.0,1,1,0,0,0.23300714096799788,1,651 days 00:00:00,1286 days,1,2,2,2,2,1,3,1,1,H.J.  Smidt,01272,H.J.  Smidt,306967.9028281479,1.0,,,,,,,,
3,S.A. de Moraaz,S.A. de Moraaz,S.A. de Moraaz,,1275.0,65.02%,Alkmaar,1850-08-27,algemeen,2833,1977,1979,3922,20,2.0,981,3781.0,2,1,1,0,0.15604337476857974,1,635 days 00:00:00,2021 days,1,2,2,2,2,1,2,1,0,S.A. de Moraaz,00943,S.A. de Moraaz,,0.0,0.0,,,,,,,
4,jhr.mr. C. van Foreest,jhr.mr. C. van Foreest,C. van Foreest,,685.0,34.93%,Alkmaar,1850-08-27,algemeen,2833,1977,1979,3922,20,2.0,981,3781.0,3,0,0,1,-0.15604337476857974,1,994 days 00:00:00,8323 days,1,1,1,,,0,9,0,9,C. van Foreest,00416,C. van Foreest,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,
5,W.J.C. Waterschoot van der Gracht,,,,255.0,13.00%,Alkmaar,1850-08-27,algemeen,2833,1977,1979,3922,20,2.0,981,3781.0,4,0,0,0,-0.2697699021422904,1,,0 days,1,1,1,,,0,0,0,0,,,,,,,,,,,,,
6,mr. H.J. Smit,mr. H.J. Smit,H.J.  Smit,,864.0,68.90%,Alkmaar,1852-06-08,periodiek,2801,1267,1267,1254,0,1.0,627,1114.0,1,1,1,0,0.6229802513464991,1,651 days 00:00:00,1286 days,1,3,3,3,3,1,3,2,0,H.J.  Smidt,01272,H.J.  Smidt,306967.9028281479,,,,,,,,,
7,C. van de Stadt,,,,170.0,13.56%,Alkmaar,1852-06-08,periodiek,2801,1267,1267,1254,0,1.0,627,1114.0,2,0,0,1,-0.6229802513464991,1,,0 days,1,1,1,,,0,0,0,0,,,,,,,,,,,,,
8,mr. G. Groen van Prinsterer,mr. G. Groen van Prinsterer,G.  Groen van Prinsterer,,80.0,6.38%,Alkmaar,1852-06-08,periodiek,2801,1267,1267,1254,0,1.0,627,1114.0,3,0,0,0,-0.703770197486535,1,-651 days +00:00:00,9168 days,16,40,38,,,0,9,2,7,G.  Groen van Prinsterer,00485,G.  Groen van Prinsterer,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
9,J.J. Rochussen,J.J. Rochussen,J.J.  Rochussen,,723.0,50.56%,Alkmaar,1852-06-29,tussentijds,2801,1440,1441,1430,3,1.0,715,1313.0,1,1,1,0,0.3092155369383092,1,322 days 00:00:00,5706 days,1,3,2,1,1,1,6,0,5,J.J.  Rochussen,01116,J.J.  Rochussen,,1.0,1.0,0.0,0.0,1.0,,,,
10,mr. E.J.H. Borret,mr. E.J.H. Borret,E.J.H.  Borret,,317.0,22.17%,Alkmaar,1852-06-29,tussentijds,2801,1440,1441,1430,3,1.0,715,1313.0,2,0,0,1,-0.3092155369383092,1,322 days 00:00:00,4212 days,1,4,4,,,0,3,2,1,E.J.H.  Borret,00167,E.J.H.  Borret,,0.0,0.0,0.0,0.0,0.0,,,,
11,mr. C. Sandenbergh Matthiessen,,,,95.0,6.64%,Alkmaar,1852-06-29,tussentijds,2801,1440,1441,1430,3,1.0,715,1313.0,3,0,0,0,-0.4782939832444783,1,,0 days,1,1,1,,,0,0,0,0,,,,,,,,,,,,,
12,jhr. M. Salvador,,,,54.0,3.78%,Alkmaar,1852-06-29,tussentijds,2801,1440,1441,1430,3,1.0,715,1313.0,4,0,0,0,-0.5095201827875095,1,-672 days +00:00:00,6357 days,1,3,3,,,0,0,0,0,,,,56811.7202717994,0.0,0.0,0.0,0.0,0.0,,,,
