,Regio,Type,sub_election,RegioCode,RegioUitslag,Kandidaat,AantalStemmen,main_election,Electoraat,Geldig,no_of_candidates,number,voteshare,politician,seats,minvswinner,maxvswinner,margin,overleden,plaats,archiefnummer,found,opmerking,bron,,
27,Alkmaar,algemeen,1884-10-28,KD34,,W. Bos,788,1884-10-28,4034,5316,7,3,0.148231753197893,0,2,0.294958615500376,0.294958615500376,0.146726862302483,13 maart 1893,Oudorp,,ja,burgemeester oudorp,https://nl.wikipedia.org/wiki/Lijst_van_burgemeesters_van_Oudorp,http://genea.pedete.net/pancras/2489.htm,
39,Alkmaar,algemeen,1886-06-15,KD34,,C. Hartsen,1361,1886-06-15,4243,6559,4,3,0.207501143466992,0,2,0.289373380088428,0.295471870711999,0.081872236621436,,,,nee,eerste kamerlid,https://www.parlement.com/id/vg09ll1eqkyy/c_hartsen,,
40,Alkmaar,algemeen,1886-06-15,KD34,,H.W. van Marle,1321,1886-06-15,4243,6559,4,4,0.201402652843421,0,2,0.289373380088428,0.295471870711999,0.087970727245007,14 december 1927,Zeist,,,notaris,https://www.graftombe.nl/names/info/742164?utm_source=OpenArchieven&utm_medium=browser&utm_campaign=OpenData,,
67,Alkmaar,algemeen,1891-06-09,KD34,,A. Goede,1313,1891-06-09,4783,3405,3,2,0.3856093979442,0,NA,0.480469897209985,0.480469897209985,0.094860499265785,,,,,,,,
111,Alkmaar,algemeen,11/06/1909,KD34,,F.C.J. Netscher,2245,11/06/1909,10270,8867,4,3,0.253185970452239,0,NA,0.401714221269877,0.401714221269877,0.148528250817638,19 november 1923,Haarlem,,ja,"letterkundige, journalist",https://nl.wikipedia.org/wiki/Frans_Netscher,Memorie in kantoor Zaandam,
155,Alkmaar,herstemming,1888-03-20,KD34,,C. Hartsen,1901,1888-03-06,4797,4371,2,2,0.434911919469229,0,1,0.565088080530771,0.565088080530771,0.130176161061542,,,,,,,,
190,Alkmaar,herstemming,07/04/1903,KD34,,G.J. Sybrandy,2995,14/06/1901,8414,6661,2,2,0.449632187359255,0,1,0.550367812640745,0.550367812640745,0.10073562528149,9 augustus 1966,Almelo,,,,https://www.delpher.nl/nl/kranten/view?query=gerrit+jan+sybrandy+almelo+overleden&coll=ddd&identifier=KBPERS01:003297034:mpeg21:a00123&resultsidentifier=KBPERS01:003297034:mpeg21:a00123,,
243,Alkmaar,periodiek,1866-06-12,KD34,,J.D. van Herwerden,446,1866-06-12,3036,1117,2,2,0.399283795881826,0,1,0.53088630259624,0.53088630259624,0.131602506714414,9 september 1879,Den Haag,,,,https://www.genealogieonline.nl/en/stamboom-baris/I88837.php,,
333,Alkmaar,tussentijds,1870-10-25,KD34,,H.G.C.L. Janssens,914,1869-06-08,3154,2011,2,2,0.454500248632521,0,1,0.538538040775733,0.538538040775733,0.084037792143212,20 juni 1897 ,Den Haag,,,,http://www.biografischportaal.nl/persoon/67360301,,
371,Alkmaar,tussentijds,1887-10-25,KD34,,C. Hartsen,988,1887-09-01,4165,2313,2,2,0.427150886294855,0,1,0.56463467358409,0.56463467358409,0.137483787289235,,,,,,,,
