,b1-nummer,Naam,District,Verkiezingdatum,Vermogen,margin,Sterfdatum,Vermogen_deflated
0,01100,R. de Sitter,Winschoten,30/11/1848,,0.07183908045977,24-02-1869,
1,01527,R. Westerhoff,Appingedam,27/12/1848,,0.136498516320475,25-03-1874,
2,00955,J.T. Homan,Assen,30/11/1848,,0.087193460490463,29-03-1852,
3,01100,G. de Serière,Hoogeveen,26/12/1848,,0.030981067125646,24-02-1869,
4,00332,D. Donker Curtius,Almelo,02/01/1849,,0.1125,17-07-1864,
5,01316,C.M. Storm van 's Gravesande,Enschede,30/11/1848,538774.18,0.096638655462185,08-07-1880,395608.196400622
6,00872,M.J. de Man,Enschede,16/12/1848,,0.148225469728601,22-12-1854,
7,01361,J.R. Thorbecke,Zutphen,30/11/1848,,0.137142857142857,04-06-1872,
8,01504,S. van Walchren,Amersfoort,30/11/1848,,0.00709219858156,16-01-1871,
9,01504,S. van Walchren,Amersfoort,07/12/1848,,0.189504373177843,16-01-1871,
10,00335,E.C.U. van Doorn,Ysselstein,30/11/1848,256315.21,0.010506208213945,02-08-1882,187634.659035006
11,00828,G.M. van der Linden,Gouda,30/11/1848,276159.77,0.026446280991736,04-04-1888,257675.934985976
12,01582,W. Wijnaendts,Ridderkerk,30/11/1848,152344.32,0.088028169014085,20-04-1884,130112.146629126
13,01582,W. Wijnaendts,Ridderkerk,09/12/1848,152344.32,0.024561403508772,20-04-1884,130112.146629126
14,,J.L.Th.A.L. van Scherpenzeel Heusch,Sittard,30/11/1848,,0.011441647597254,,
15,,J.L.Th.A.L. van Scherpenzeel Heusch,Sittard,09/12/1848,,0.084967320261438,,
16,04021,J.J.F.M.H. Corneli,Sittard,14/06/1849,,0.084615384615385,23-11-1855,
17,01000,N. Olivier,Zuidhorn,07/04/1869,,0.093502377179081,12-11-1869,
18,01000,N. Olivier,Zuidhorn,08/06/1869,,0.176803394625177,12-11-1869,
19,00607,S. van Houten,Groningen,28/10/1884,450750.19,0.155688622754491,14-10-1930,277948.342811287
20,01142,D. de Ruiter Zijlker,Appingedam,12/06/1883,-4728.53,0.124756335282651,24-10-1892,-4499.04503177834
21,00646,W.J.A. Jonckbloet,Winschoten,18/07/1864,,0.130879345603272,19-10-1885,
22,00646,W.J.A. Jonckbloet,Winschoten,02/08/1864,,0.159533073929961,19-10-1885,
23,,D. Mulder Dzn.,Winschoten,26/02/1878,,0.013646702047005,,
24,01479,J.W.J. van Vos van Steenwijk,Winschoten,12/03/1878,225561.23,0.061480552070264,10-10-1897,232494.574055408
25,01479,J.W.J. van Vos van Steenwijk,Winschoten,10/06/1879,225561.23,0.185490519373454,10-10-1897,232494.574055408
26,00348,H.L. Drucker,Winschoten,01/09/1887,3013169.65,0.058989898989899,05-09-1917,2041786.66720306
27,00315,J. Dirks,Leeuwarden,12/06/1860,,0.019607843137255,25-11-1892,
28,00315,J. Dirks,Leeuwarden,30/10/1860,,0.032615384615385,25-11-1892,
29,00616,H.U. Huguenin,Sneek,27/08/1850,,0.14305898975627,07-10-1873,
30,00663,A.F. Jongstra,Sneek,27/08/1850,,0.138113740727658,04-08-1871,
31,00616,H.U. Huguenin,Sneek,13/06/1854,,0.096919609316304,07-10-1873,
32,01572,S. Wybenga,Sneek,12/06/1860,,0.089156626506024,09-09-1886,
33,01572,S. Wybenga,Sneek,14/06/1864,,0.112373737373737,09-09-1886,
34,00625,W.H. Idzerda,Sneek,10/06/1873,,0.063001605136437,06-12-1881,
35,01572,S. Wybenga,Sneek,10/06/1873,,0.057985553772071,09-09-1886,
36,00931,A. Moens,Sneek,08/06/1875,1750,0.15243415802075,24-06-1899,1738.58956775
37,00625,W.H. Idzerda,Sneek,14/06/1881,,0.003490870032223,06-12-1881,
38,01572,S. Wybenga,Sneek,14/06/1881,,0.002551020408163,09-09-1886,
39,01572,S. Wybenga,Sneek,28/10/1884,,0.035253436788395,09-09-1886,
40,00132,Ph. van Blom,Sneek,28/10/1884,84135.86,0.03508476005735,13-04-1910,77464.2154586517
41,00239,A. Buma,Sneek,28/10/1884,,0.034241376402125,29-11-1893,
42,00239,A. Buma,Sneek,01/09/1887,,0.003798406522142,29-11-1893,
43,00553,B.H. Heldt,Sneek,01/09/1887,942,0.001667593107282,13-01-1914,818.127000231032
44,00222,I.T. ter Brugghen Hugenholtz,Dokkum,17/05/1853,,0.084886128364389,25-01-1871,
