,b1-nummer,Naam,District,Verkiezingdatum,Vermogen,margin,Sterfdatum,Vermogen_deflated,before,after,lifespan,election_type,party_election,amount_votes,amount_electors,amount_seats,turnout,kiesdrempel,begin_period,end_period,tenure,date_of_birth,place_of_birth,party,election_after_arp,election_after_rk,election_after_lib,howmany_before_alg,howmany_after_alg,age_at_election,age_of_death,turnout_previous_el,diff_turn,no_candidates,taxespercap_1859,taxespercap_1889,taxespercap_diff,birthplace_pop_1859,birthplace_cath,birthplace_prot,birthplace_ov,birthplace_share_cath,birthplace_share_prot,district_cath,district_prot,district_ov,district_pop_1859,district_pop_1889,birthplace_agri,birthplace_indus,birthplace_serv,district_agri,district_indus,district_serv,party_category,prof_business,prof_politics,prof_colonial,distance_bp_hag
0,01100,R. de Sitter,Winschoten,30/11/1848,,0.07183908045977,24-02-1869,,0,0,7391.0,algemeen,,257.0,1183,1.0,721.0,361.0,1849-02-13,1869-02-23,20.041095890410958,15-08-1790,Garnwerd ,'pragmatisch' liberaal,0,0,0,0,0,58.33150684931507,78.58082191780822,,,5,,,,,,,,,,62.0,2120.0,150.0,3266.6666666666665,3907.5,,,,0.1233523999005222,0.2054215369311116,0.3914449142004476,liberal,0,0,0,200.86649740197225
0,01527,R. Westerhoff,Appingedam,27/12/1848,,0.136498516320475,25-03-1874,,1,6,9219.0,tussentijds,,225.0,1586,1.0,684.0,342.0,1849-02-13,1874-03-24,25.123287671232877,14-03-1801,Oosterland ,Thorbeckiaan;liberaal,0,0,0,1,1,47.821917808219176,73.07945205479452,821.0,-137.0,5,,,,,,,,,,198.0,2324.0,106.0,2286.0,2104.5,,,,0.1764976958525345,0.1723502304147465,0.3308755760368663,liberal,0,0,0,106.01651792122061
0,00955,J.T. Homan,Assen,30/11/1848,,0.087193460490463,29-03-1852,,1,0,1215.0,algemeen,,245.0,973,1.0,828.0,414.0,1844-10-22,1850-08-19,5.8273972602739725,22-04-1801,Leiden,moderaat of gematigd liberaal;'pragmatisch' liberaal,0,0,0,0,0,47.64109589041096,50.96986301369863,813.0,15.0,9,3.6794788800776814,5.4793333179649135,1.799854437887232,24716.0,6830.0,22782.0,233.0,0.22884905344278775,0.763343943709164,12.0,728.0,26.0,3581.6666666666665,4565.0,0.0127447116016292,0.2862523540489642,0.4113782682958875,0.168459552495697,0.1820137693631669,0.3515490533562823,liberal,0,0,0,14.11074180568034
0,01100,G. de Serière,Hoogeveen,26/12/1848,,0.030981067125646,24-02-1869,,0,0,7365.0,,,,,,,,1849-02-13,1869-02-23,20.041095890410958,15-08-1790,Garnwerd ,'pragmatisch' liberaal,0,0,0,0,0,58.4027397260274,78.58082191780822,,,5,,,,,,,,,,11.0,4722.0,116.0,6164.333333333333,5851.0,,,,0.0940343781597573,0.0901584091675092,0.4300640377485675,liberal,0,0,0,200.86649740197225
0,00332,D. Donker Curtius,Almelo,02/01/1849,,0.1125,17-07-1864,,3,1,5645.0,herstemming,,267.0,547,1.0,480.0,240.0,1849-02-13,1850-08-19,1.5123287671232877,19-10-1792,Den Bosch,'pragmatisch' liberaal,0,0,0,2,0,56.323287671232876,71.78904109589041,475.0,5.0,2,4.01603911331357,5.71420148868745,1.6981623753738795,15067.333333333334,11183.0,2620.0,97.0,0.8045323741007194,0.1884892086330935,0.0,0.0,0.0,0.0,0.0,0.0160724312184166,0.2829870859067939,0.4409039865244245,,,,liberal,0,0,0,80.97015671432723
0,01316,C.M. Storm van 's Gravesande,Enschede,30/11/1848,538774.18,0.096638655462185,08-07-1880,395608.196400622,0,13,11573.0,algemeen,,397.0,849,1.0,740.0,370.0,1847-11-09,1879-09-14,31.86849315068493,16-05-1809,Rotterdam,moderaat of gematigd liberaal;'pragmatisch' liberaal;conservatief-liberaal,0,0,0,0,5,39.56986301369863,71.27671232876712,,,2,5.239469666987053,5.070108690267416,-0.1693609767196369,70748.0,16376.0,40668.0,2094.0,0.2769116304237546,0.6876796645135108,822.0,1289.0,20.0,2881.6666666666665,7614.5,0.0049708254357602,0.2146560374623703,0.4883580480915747,0.020781919729835,0.5859202493830368,0.2171710611767762,liberal,0,0,0,20.73918483374934
0,00872,M.J. de Man,Enschede,16/12/1848,,0.148225469728601,22-12-1854,,1,7,2197.0,tussentijds,,257.0,532,1.0,488.0,244.0,1840-08-05,1854-12-21,14.386301369863014,23-06-1788,Nijmegen,financiële oppositie;liberaal;'pragmatisch' liberaal,0,0,0,1,4,60.52054794520548,66.53972602739726,485.0,3.0,3,3.5329176941329736,4.876982025482072,1.3440643313490988,14328.666666666666,8330.0,4855.0,312.0,0.6171741868563384,0.3597095650885382,822.0,1289.0,20.0,2881.6666666666665,7614.5,0.0797506322413691,0.1984355701934952,0.344233370581662,0.020781919729835,0.5859202493830368,0.2171710611767762,liberal,0,0,0,108.27343002042247
0,01361,J.R. Thorbecke,Zutphen,30/11/1848,,0.137142857142857,04-06-1872,,0,26,8528.0,algemeen,,218.0,849,1.0,740.0,370.0,1840-08-05,1871-01-03,30.432876712328767,14-01-1798,Zwolle,liberaal;Thorbeckiaan,0,0,0,0,17,50.90958904109589,74.27397260273973,,,4,3.89053934109539,5.962174044875682,2.071634703780292,12768.666666666666,2838.0,9712.0,343.0,0.22011944465989297,0.7532769720003103,1169.0,6329.0,93.0,9152.0,8594.5,0.04673721340388,0.2715314520870076,0.4028512639623751,0.0566458519179304,0.1930196253345227,0.4285236396074933,liberal,0,0,0,130.67582799254524
0,01504,S. van Walchren,Amersfoort,30/11/1848,,0.00709219858156,16-01-1871,,1,3,8082.0,algemeen,,314.0,795,1.0,722.0,361.0,1849-02-13,1853-04-25,4.197260273972603,27-05-1791,Breda,'pragmatisch' liberaal,0,0,0,0,2,57.55068493150685,79.69315068493151,686.0,36.0,4,3.809022860610965,5.196248196248196,1.3872253356372313,9886.0,7751.0,1745.0,36.0,0.8131556861099455,0.1830675618967688,3568.0,4789.0,325.0,8464.0,7690.0,0.018014097989731,0.2488904359933861,0.4648855626142198,0.0576314122862571,0.2208993033565547,0.4116529449018366,liberal,0,0,0,63.34721142533265
0,01504,S. van Walchren,Amersfoort,07/12/1848,,0.189504373177843,16-01-1871,,0,4,8223.0,herstemming,,408.0,795,1.0,686.0,343.0,1849-02-13,1853-04-25,4.197260273972603,27-05-1791,Breda,'pragmatisch' liberaal,0,0,0,0,3,57.16438356164384,79.69315068493151,,,2,3.809022860610965,5.196248196248196,1.3872253356372313,9886.0,7751.0,1745.0,36.0,0.8131556861099455,0.1830675618967688,3568.0,4789.0,325.0,8464.0,7690.0,0.018014097989731,0.2488904359933861,0.4648855626142198,0.0576314122862571,0.2208993033565547,0.4116529449018366,liberal,0,0,0,63.34721142533265
0,00335,E.C.U. van Doorn,Ysselstein,30/11/1848,256315.21,0.010506208213945,02-08-1882,187634.659035006,1,2,12123.0,algemeen,,396.0,1174,1.0,1069.0,535.0,1849-02-13,1853-03-26,4.115068493150685,13-10-1799,Oisterwijk,conservatief,0,0,0,0,2,49.16438356164384,82.37808219178082,1014.0,55.0,3,1.8222587461845503,2.7859741978167385,0.9637154516321882,1419.6666666666667,1633.0,100.0,89.0,0.8962678375411636,0.054884742041712405,,,,,,0.0,0.0,0.0,,,,protestant,0,0,0,83.73616779068246
