,amco,name,year,category,total_profession_count,total_inhabitants,prof_count_per_cap
0,10002,Zuidlaren,1889,agriculture,0.0,1125.0,0.0
1,10002,Zuidlaren,1889,industry,0.0,1125.0,0.0
2,10002,Zuidlaren,1889,services,0.0,1125.0,0.0
3,10004,Zijpe,1889,agriculture,0.0,2282.0,0.0
4,10004,Zijpe,1889,industry,0.0,2282.0,0.0
5,10004,Zijpe,1889,services,0.0,2282.0,0.0
6,10005,Opsterland,1889,agriculture,2734.0,7509.0,0.3640964176321747
7,10005,Opsterland,1889,industry,1181.0,7509.0,0.1572779331468904
8,10005,Opsterland,1889,services,1295.0,7509.0,0.17245971500865628
9,10006,Baardwijk,1889,agriculture,0.0,812.0,0.0
10,10006,Baardwijk,1889,industry,0.0,812.0,0.0
11,10006,Baardwijk,1889,services,0.0,812.0,0.0
12,10007,Vaals,1889,agriculture,0.0,2446.0,0.0
13,10007,Vaals,1889,industry,0.0,2446.0,0.0
14,10007,Vaals,1889,services,0.0,2446.0,0.0
15,10008,Nieuweschans,1889,agriculture,134.0,724.0,0.1850828729281768
16,10008,Nieuweschans,1889,industry,102.0,724.0,0.1408839779005525
17,10008,Nieuweschans,1889,services,247.0,724.0,0.3411602209944751
18,10009,Oostvoorne,1889,agriculture,0.0,965.0,0.0
19,10009,Oostvoorne,1889,industry,0.0,965.0,0.0
20,10009,Oostvoorne,1889,services,0.0,965.0,0.0
21,10009,Westvoorne,1889,agriculture,0.0,0.0,
22,10009,Westvoorne,1889,industry,0.0,0.0,
23,10009,Westvoorne,1889,services,0.0,0.0,
24,10010,Eethen,1889,agriculture,0.0,0.0,
25,10010,Eethen,1889,industry,0.0,0.0,
26,10010,Eethen,1889,services,0.0,0.0,
27,10011,Luyksgestel,1889,agriculture,0.0,431.0,0.0
28,10011,Luyksgestel,1889,industry,0.0,431.0,0.0
29,10011,Luyksgestel,1889,services,0.0,431.0,0.0
30,10015,Veen,1889,agriculture,0.0,492.0,0.0
31,10015,Veen,1889,industry,0.0,492.0,0.0
32,10015,Veen,1889,services,0.0,492.0,0.0
33,10017,Voorhout,1889,agriculture,0.0,743.0,0.0
34,10017,Voorhout,1889,industry,0.0,743.0,0.0
35,10017,Voorhout,1889,services,0.0,743.0,0.0
36,10019,Monster,1889,agriculture,0.0,2264.0,0.0
37,10019,Monster,1889,industry,0.0,2264.0,0.0
38,10019,Monster,1889,services,0.0,2264.0,0.0
39,10021,Zuidhorn,1889,agriculture,460.0,1403.0,0.32786885245901637
40,10021,Zuidhorn,1889,industry,188.0,1403.0,0.13399857448325017
41,10021,Zuidhorn,1889,services,376.0,1403.0,0.26799714896650034
42,10022,Haskerland,1889,agriculture,755.0,3791.0,0.19915589554207333
43,10022,Haskerland,1889,industry,796.0,3791.0,0.20997098390925878
44,10022,Haskerland,1889,services,1176.0,3791.0,0.31020838828805064
45,10022,Scharsterland,1889,agriculture,0.0,0.0,
46,10022,Scharsterland,1889,industry,0.0,0.0,
47,10022,Scharsterland,1889,services,0.0,0.0,
48,10022,Skarsterlan,1889,agriculture,0.0,0.0,
