"","jaar","bevolkingsomvang","RK_number","RK_pct","Hervormd_number","Hervormd_pct","Gereformeerd_number","Gereformeerd_pct","Overig_number","Overig_pct","districtname"
"1",1848,21459,3056,14.2,16091,75,273,1.3,2039,9.5,"Groningen"
"2",1850,21392,3299,15.4,15564,72.8,268,1.3,2261,10.6,"Groningen"
"3",1858,23476,3436,14.6,16939,72.2,650,2.8,2451,10.4,"Groningen"
"4",1864,22540,2888,12.8,16675,74,997,4.4,1980,8.8,"Groningen"
"5",1869,22309,2872,12.9,16428,73.6,1104,4.9,1905,8.5,"Groningen"
"6",1878,23424,3292,14.1,16294,69.6,726,3.1,3112,13.3,"Groningen"
"7",1888,90573,9550,10.5,55166,60.9,13451,14.9,12406,13.7,"Groningen"
"8",1897,66537,8484,12.8,40242,60.5,5226,7.9,12585,18.9,"Groningen"
"9",1909,74613,8756,11.7,34413,46.1,10351,13.9,21093,28.3,"Groningen"
"10",1848,23464,1064,4.5,19347,82.5,2217,9.4,836,3.6,"Onderdendam"
"11",1848,23496,1074,4.6,19357,82.4,1924,8.2,1141,4.9,"Appingedam"
"12",1850,44628,2355,5.3,37029,83,2798,6.3,2446,5.5,"Appingedam"
"13",1858,51754,2679,5.2,42281,81.7,4199,8.1,2595,5,"Appingedam"
"14",1864,46061,2032,4.4,37054,80.4,4898,10.6,2077,4.5,"Appingedam"
"15",1869,42774,2010,4.7,34508,80.7,4221,9.9,2035,4.8,"Appingedam"
"16",1878,45265,1558,3.4,35044,77.4,7090,15.7,1573,3.5,"Appingedam"
"17",1888,43082,1567,3.6,28387,65.9,10398,24.1,2730,6.3,"Appingedam"
"18",1897,45691,1426,3.1,30045,65.8,11366,24.9,2854,6.2,"Appingedam"
"19",1909,48280,1425,3,30307,62.8,12697,26.3,3851,8,"Appingedam"
"20",1848,23749,1681,7.1,19555,82.3,941,4,1572,6.6,"Winschoten"
"21",1864,23442,2090,8.9,17753,75.7,2038,8.7,1561,6.7,"Winschoten"
"22",1869,23442,2090,8.9,17753,75.7,2038,8.7,1561,6.7,"Winschoten"
"23",1878,45332,3734,8.2,35017,77.2,3573,7.9,3008,6.6,"Winschoten"
"24",1888,43612,633,1.5,36457,83.6,3715,8.5,2807,6.4,"Winschoten"
"25",1897,47338,703,1.5,39112,82.6,4241,9,3282,6.9,"Winschoten"
"26",1909,50287,675,1.3,39749,79,5052,10,4811,9.6,"Winschoten"
"27",1848,25729,3189,12.4,20096,78.1,240,0.9,2204,8.6,"Leeuwarden"
"28",1850,45112,5504,12.2,36185,80.2,593,1.3,2830,6.3,"Leeuwarden"
"29",1858,44574,5759,12.9,34761,78,1028,2.3,3026,6.8,"Leeuwarden"
"30",1864,46910,5995,12.8,35718,76.1,2136,4.6,3061,6.5,"Leeuwarden"
"31",1869,44015,4871,11.1,33707,76.6,1943,4.4,3494,7.9,"Leeuwarden"
"32",1878,44868,5169,11.5,33282,74.2,2223,5,4194,9.3,"Leeuwarden"
"33",1888,45768,6335,13.8,30035,65.6,3155,6.9,6243,13.6,"Leeuwarden"
"34",1897,47996,6287,13.1,29702,61.9,4536,9.5,7471,15.6,"Leeuwarden"
"35",1909,53699,6329,11.8,28376,52.8,6460,12,12534,23.3,"Leeuwarden"
"36",1848,23995,406,1.7,21503,89.6,612,2.6,1474,6.1,"Dokkum"
"37",1850,23995,406,1.7,21503,89.6,612,2.6,1474,6.1,"Dokkum"
"38",1858,45352,517,1.1,39466,87,2768,6.1,2601,5.7,"Dokkum"
"39",1864,44181,482,1.1,37370,84.6,3870,8.8,2459,5.6,"Dokkum"
"40",1869,43283,496,1.1,35776,82.7,4904,11.3,2107,4.9,"Dokkum"
"41",1878,46584,487,1,37084,79.6,5912,12.7,3101,6.7,"Dokkum"
"42",1888,41532,882,2.1,24087,58,12713,30.6,3850,9.3,"Dokkum"
"43",1897,41843,887,2.1,21350,51,15358,36.7,4248,10.2,"Dokkum"
"44",1909,43243,913,2.1,20835,48.2,16797,38.8,4698,10.9,"Dokkum"
"45",1848,24742,990,4,20785,84,740,3,2227,9,"Heerenveen"
"46",1848,23537,3607,15.3,17746,75.4,350,1.5,1834,7.8,"Sneek"
"47",1850,44463,4305,9.7,34556,77.7,906,2,4696,10.6,"Sneek"
"48",1858,44125,4585,10.4,34138,77.4,1017,2.3,4385,9.9,"Sneek"
"49",1864,47153,4766,10.1,36710,77.9,1327,2.8,4350,9.2,"Sneek"
"50",1869,63138,6745,10.7,49969,79.1,1914,3,4510,7.1,"Sneek"
"51",1878,72300,7287,10.1,56709,78.4,2920,4,5384,7.4,"Sneek"
"52",1888,45093,6567,14.6,26203,58.1,7176,15.9,5147,11.4,"Sneek"
"53",1897,45423,6362,14,26668,58.7,7742,17,4651,10.2,"Sneek"
"54",1909,46971,6366,13.6,26234,55.9,9195,19.6,5176,11,"Sneek"
"55",1848,23809,2637,11.1,19463,81.7,372,1.6,1337,5.6,"Franeker"
"56",1888,42496,2564,6,28612,67.3,6279,14.8,5041,11.9,"Franeker"
"57",1897,41528,2333,5.6,25901,62.4,6850,16.5,6444,15.5,"Franeker"
"58",1909,42218,2340,5.5,22516,53.3,7957,18.8,9405,22.3,"Franeker"
"59",1848,23510,1714,7.3,19757,84,1152,4.9,887,3.8,"Assen"
"60",1850,45955,2867,6.2,38810,84.5,2645,5.8,1633,3.6,"Assen"
"61",1858,49109,2631,5.4,41089,83.7,3697,7.5,1692,3.4,"Assen"
"62",1864,49018,2421,4.9,40043,81.7,4992,10.2,1562,3.2,"Assen"
"63",1869,45060,2222,4.9,36678,81.4,4648,10.3,1512,3.4,"Assen"
"64",1878,48294,2922,6.1,37824,78.3,5717,11.8,1831,3.8,"Assen"
"65",1888,44323,2298,5.2,36130,81.5,3525,8,2370,5.3,"Assen"
"66",1897,49008,2439,5,39561,80.7,4416,9,2592,5.3,"Assen"
"67",1909,55080,2443,4.4,41730,75.8,5694,10.3,5213,9.5,"Assen"
"68",1848,18746,844,4.5,16079,85.8,1187,6.3,636,3.4,"Hoogeveen"
"69",1848,20624,4137,20.1,15226,73.8,407,2,854,4.1,"Zwolle"
"70",1850,43483,9586,22,31322,72,1191,2.7,1384,3.2,"Zwolle"
"71",1858,48558,10447,21.5,34469,71,2052,4.2,1590,3.3,"Zwolle"
"72",1864,45622,7462,16.4,33172,72.7,3389,7.4,1599,3.5,"Zwolle"
"73",1869,43259,7396,17.1,31140,72,3153,7.3,1570,3.6,"Zwolle"
"74",1878,47834,8221,17.2,34182,71.5,3781,7.9,1650,3.4,"Zwolle"
"75",1888,43622,11540,26.5,26790,61.4,3266,7.5,2026,4.6,"Zwolle"
"76",1897,47996,12002,25,29891,62.3,3763,7.8,2340,4.9,"Zwolle"
"77",1909,53030,12705,24,31908,60.2,5166,9.7,3251,6.1,"Zwolle"
"78",1848,19477,2190,11.2,15516,79.7,295,1.5,1476,7.6,"Kampen"
"79",1888,43324,3556,8.2,31200,72,6970,16.1,1598,3.7,"Kampen"
"80",1897,45729,3496,7.6,31168,68.2,9115,19.9,1950,4.3,"Kampen"
"81",1909,48085,3365,7,32412,67.4,9555,19.9,2753,5.7,"Kampen"
"82",1848,20729,7030,33.9,12957,62.5,232,1.1,510,2.5,"Deventer"
"83",1850,22439,4503,20.1,17245,76.9,178,0.8,513,2.3,"Deventer"
"84",1858,24293,4578,18.8,18906,77.8,225,0.9,584,2.4,"Deventer"
"85",1864,45304,10098,22.3,33473,73.9,803,1.8,930,2.1,"Deventer"
"86",1869,45304,10098,22.3,33473,73.9,803,1.8,930,2.1,"Deventer"
"87",1878,46705,10670,22.8,33421,71.6,1675,3.6,939,2,"Deventer"
"88",1888,42088,9282,22.1,29891,71,1059,2.5,1856,4.4,"Deventer"
