,amco,year,name,totaal personele belastingen,total_inhabitants,taxes_percap
0,10002,1859,Zuidlaren,2602.0,1101.3333333333333,2.362590799031477
1,10002,1869,Zuidlaren,3126.0,1834.0,1.7044711014176663
2,10002,1870,Zuidlaren,3145.0,1831.0,1.7176406335335883
3,10002,1879,Zuidlaren,3325.0,2054.0,1.6187925998052581
4,10002,1889,Zuidlaren,3517.0,1094.0,3.2148080438756854
5,10002,1933,Zuidlaren,,4859.0,
6,10002,1934,Zuidlaren,,4965.0,
7,10004,1859,Zijpe,8874.0,3586.6666666666665,2.474163568773234
8,10004,1869,Zijpe,13080.0,4531.0,2.88677996027367
9,10004,1870,Zijpe,13272.0,4634.0,2.86404833836858
10,10004,1879,Zijpe,11417.0,4850.0,2.354020618556701
11,10004,1889,Zijpe,11117.0,2243.5,4.955203922442612
12,10004,1933,Zijpe,,5418.0,
13,10004,1934,Zijpe,,5448.0,
14,10005,1859,Opsterland,14069.0,7602.0,1.8506971849513285
15,10005,1869,Opsterland,15424.0,12747.0,1.2100101984780733
16,10005,1870,Opsterland,15697.0,12857.0,1.220891343237147
17,10005,1879,Opsterland,17081.0,14426.0,1.184042700679329
18,10005,1889,Opsterland,17129.0,7285.0,2.3512697323266987
19,10005,1933,Opsterland,,19804.0,
20,10005,1934,Opsterland,,19982.0,
21,10006,1859,Baardwijk,997.0,864.3333333333334,1.1534901658310837
22,10006,1869,Baardwijk,1190.0,1435.0,0.8292682926829268
23,10006,1870,Baardwijk,1087.0,1469.0,0.7399591558883595
24,10006,1879,Baardwijk,1731.0,1603.0,1.0798502807236432
25,10006,1889,Baardwijk,1769.0,792.5,2.2321766561514194
26,10007,1859,Vaals,2570.0,2394.0,1.073517126148705
27,10007,1869,Vaals,3216.0,3844.0,0.8366285119667014
28,10007,1870,Vaals,3302.0,3867.0,0.8538919058701836
29,10007,1879,Vaals,4124.0,4365.0,0.9447880870561283
30,10007,1889,Vaals,4311.0,2422.5,1.7795665634674922
31,10007,1933,Vaals,,8365.0,
32,10007,1934,Vaals,,8341.0,
33,10008,1859,Nieuweschans,1707.0,677.0,2.521418020679468
34,10008,1869,Nieuweschans,1837.0,1093.0,1.6806953339432753
35,10008,1870,Nieuweschans,1865.0,1124.0,1.6592526690391458
36,10008,1879,Nieuweschans,2278.0,1357.0,1.6787030213706706
37,10008,1889,Nieuweschans,2237.0,713.0,3.1374474053295933
38,10008,1933,Nieuweschans,,2073.0,
39,10008,1934,Nieuweschans,,2034.0,
40,10009,1859,Oostvoorne,1519.0,886.6666666666666,1.7131578947368422
41,10009,1859,Westvoorne,,0.0,
42,10009,1869,Oostvoorne,1606.0,1415.0,1.134982332155477
43,10009,1869,Westvoorne,,0.0,
44,10009,1870,Oostvoorne,1627.0,1429.0,1.138558432470259
45,10009,1870,Westvoorne,,0.0,
46,10009,1879,Oostvoorne,1888.0,1632.0,1.1568627450980393
47,10009,1879,Westvoorne,,0.0,
48,10009,1889,Oostvoorne,1991.0,901.0,2.20976692563818
49,10009,1889,Westvoorne,,0.0,
50,10009,1933,Oostvoorne,,3507.0,
51,10009,1933,Westvoorne,,0.0,
52,10009,1934,Oostvoorne,,3575.0,
53,10009,1934,Westvoorne,,0.0,
54,10010,1859,Eethen,,0.0,
55,10010,1859,Genderen,1103.0,688.3333333333334,1.6024213075060532
56,10010,1869,Eethen,,0.0,
57,10010,1869,Genderen,1128.0,965.0,1.1689119170984457
58,10010,1870,Eethen,,0.0,
59,10010,1870,Genderen,1153.0,972.0,1.1862139917695473
60,10010,1879,Eethen,,0.0,
61,10010,1879,Genderen,1210.0,977.0,1.2384851586489254
62,10010,1889,Eethen,,0.0,
63,10010,1889,Genderen,1298.0,521.0,2.491362763915547
64,10010,1933,Eethen,,2372.0,
65,10010,1934,Eethen,,2408.0,
66,10011,1859,Luyksgestel,565.0,556.6666666666666,1.0149700598802396
67,10011,1869,Luyksgestel,561.0,834.0,0.6726618705035972
68,10011,1870,Luyksgestel,517.0,837.0,0.6176821983273596
69,10011,1879,Luyksgestel,612.0,830.0,0.7373493975903614
70,10011,1889,Luyksgestel,600.0,423.5,1.4167650531286895
71,10011,1933,Luyksgestel,,1168.0,
72,10011,1934,Luyksgestel,,1181.0,
73,10015,1859,Veen,876.0,563.6666666666666,1.5541099940863397
74,10015,1869,Veen,838.0,874.0,0.9588100686498856
75,10015,1870,Veen,861.0,878.0,0.9806378132118451
76,10015,1879,Veen,970.0,944.0,1.027542372881356
77,10015,1889,Veen,1054.0,470.5,2.240170031880978
78,10015,1933,Veen,,951.0,
79,10015,1934,Veen,,967.0,
80,10017,1859,Voorhout,1525.0,589.3333333333334,2.5876696832579182
81,10017,1869,Voorhout,1490.0,968.0,1.5392561983471074
82,10017,1870,Voorhout,1900.0,971.0,1.956745623069001
83,10017,1879,Voorhout,1856.0,1091.0,1.7011915673693858
84,10017,1889,Voorhout,1994.0,646.5,3.0843000773395204
85,10017,1933,Voorhout,,3491.0,
86,10017,1934,Voorhout,,3475.0,
87,10019,1859,Monster,4360.0,2216.0,1.967509025270758
88,10019,1869,Monster,4752.0,3647.0,1.3029887578831916
89,10019,1870,Monster,4734.0,3684.0,1.285016286644951
90,10019,1879,Monster,5441.0,4193.0,1.2976389220128786
91,10019,1889,Monster,6323.0,2245.5,2.815853930082387
92,10019,1933,Monster,,11183.0,
93,10019,1934,Monster,,11286.0,
94,10020,1859,Rimburg,180.0,160.33333333333334,1.1226611226611225
95,10020,1869,Rimburg,219.0,245.0,0.8938775510204081
96,10020,1870,Rimburg,216.0,234.0,0.9230769230769231
97,10020,1879,Rimburg,212.0,283.0,0.7491166077738516
98,10021,1859,Zuidhorn,4104.0,1613.3333333333333,2.543801652892562
99,10021,1869,Zuidhorn,4846.0,2668.0,1.8163418290854574
100,10021,1870,Zuidhorn,4931.0,2710.0,1.8195571955719556
101,10021,1879,Zuidhorn,5932.0,2813.0,2.108780661215784
102,10021,1889,Zuidhorn,5830.0,1400.5,4.1627990003570154
103,10021,1933,Zuidhorn,,3393.0,
104,10021,1934,Zuidhorn,,3435.0,
105,10022,1859,Haskerland,8701.0,3904.3333333333335,2.2285494749423718
106,10022,1859,Scharsterland,,0.0,
107,10022,1859,Skarsterlan,,0.0,
108,10022,1869,Haskerland,9275.0,6217.0,1.4918771111468554
109,10022,1869,Scharsterland,,0.0,
110,10022,1869,Skarsterlan,,0.0,
111,10022,1870,Haskerland,9597.0,6357.0,1.5096743747050496
112,10022,1870,Scharsterland,,0.0,
113,10022,1870,Skarsterlan,,0.0,
114,10022,1879,Haskerland,11241.0,7513.0,1.4962065752695328
115,10022,1879,Scharsterland,,0.0,
