"","District","Aanbevolen.door","Aantal.stemmen","Percentage","V5"
"1","Hoogezand(14/06/1901)","AR","1102","30.5771%","' J.W.  Rudolph'"
"2","Hoogezand(27/06/1901)","AR(Ka/VA)","1516","39.3869%","' J.W.  Rudolph'"
"3","Rotterdam I(16/06/1905)","AR(Ka/CHP)","2782","43.6392%","' J.W.  Rudolph'"
"4","Rotterdam I(28/06/1905)","AR(Ka/CHP)","3056","45.9411%","' J.W.  Rudolph'"
"5","Ede(11/06/1909)","AR(Ka/CHU)","2522","43.259%","' J.W.  Rudolph'"
"6","Ede(23/06/1909)","AR(Ka/CHU)","2579","38.418%","' J.W.  Rudolph'"
"7","Winschoten(14/06/1901)",NA,"283","7.2882%","' E.  Brader Bz.'"
"8","Zuidhorn(14/06/1901)","AR(Ka)","2157","45.3151%","' J.C.  Wirtz'"
"9","Winschoten(14/06/1901)","AR(Ka)","697","17.95%","' J.C.  Wirtz'"
"10","Zuidhorn(27/06/1901)","AR(Ka/VA)","2403","46.0875%","' J.C.  Wirtz'"
"11","Meppel(14/06/1901)","SDAP","126","2.918%","' F.  Pomp'"
"12","Gulpen(14/06/1901)","Ka","360","17.5182%","'jhr. L.H.L.J. van der Maesen de Sombreff'"
"13","Maastricht(14/06/1901)","SDAP","818","24.491%","' S.P.  Baart'"
"14","Maastricht(16/06/1905)","SDAP","896","25.4835%","' S.P.  Baart'"
"15","Delft(17/06/1913)","SDAP","1238","17.7899%","' S.P.  Baart'"
"16","Sittard(14/06/1901)","Ka","2052","51.1211%","' J.  Arnoldts'"
"17","Weert(14/06/1901)","Ka","1032","31.2538%","' B.J.  Hulshof'"
"18","Weert(14/06/1901)","Ka","2270","68.7462%","'jhr.mr. V.E.L. de Stuers'"
"19","Weert(16/06/1905)","Ka","None","None%","'jhr.mr. V.E.L. de Stuers'"
"20","Weert(11/06/1909)","Ka","None","None%","'jhr.mr. V.E.L. de Stuers'"
"21","Weert(17/06/1913)","Ka","None","None%","'jhr.mr. V.E.L. de Stuers'"
"22","Grave(20/08/1901)","Ka","None","None%","' W.  Friesen'"
"23","Den Bosch(20/08/1901)","Lib","266","15.1222%","'mr. J.A.A.  Bosch'"
"24","Den Bosch(20/08/1901)","Ka(AR)","1493","84.8778%","'jhr.mr. A.F.O. van Sasse van Ysselt'"
"25","Den Bosch(16/06/1905)","Ka(AR)","2251","84.5605%","'jhr.mr. A.F.O. van Sasse van Ysselt'"
"26","Den Bosch(11/06/1909)","Ka","None","None%","'jhr.mr. A.F.O. van Sasse van Ysselt'"
"27","Den Bosch(17/06/1913)","Ka(AR/CHU)","3521","87.2831%","'jhr.mr. A.F.O. van Sasse van Ysselt'"
"28","Den Bosch(15/06/1917)","Ka","None","None%","'jhr.mr. A.F.O. van Sasse van Ysselt'"
"29","Tilburg(03/12/1901)",NA,"298","6.8223%","'mr. A.L.N. baron van Sloet tot Everlo'"
"30","Tilburg(03/12/1901)",NA,"2098","48.0311%","' A.L.J. van Waesberghe'"
