"","District","Aanbevolen door","Aantal stemmen","Percentage","V5"
"1","NA","NA","NA","NA","NA"
"2","NA","NA","NA","NA","NA"
"3","NA","NA","NA","NA","NA"
"4","NA","NA","NA","NA","NA"
"5","NA","NA","NA","NA","NA"
"6","NA","NA","NA","NA","NA"
"7","NA","NA","NA","NA","NA"
"8","NA","NA","NA","NA","NA"
"9","NA","NA","NA","NA","NA"
"10","NA","NA","NA","NA","NA"
"11","NA","NA","NA","NA","NA"
"12","Appingedam(30/11/1848)","NA","542","63.0233%","'mr. B.  Wichers'"
"13","Groningen(30/11/1848)","NA","700","83.7321%","'mr. B.  Wichers'"
"14","Groningen(27/08/1850)","NA","263","32.5898%","'mr. B.  Wichers'"
"15","Groningen(11/09/1850)","NA","481","57.8125%","'mr. B.  Wichers'"
"16","Groningen(30/08/1859)","NA","206","71.2803%","'mr. B.  Wichers'"
"17","Groningen(12/06/1860)","NA","253","93.0147%","'mr. B.  Wichers'"
"18","Groningen(30/11/1848)","NA","34","4.067%","' W.L. de Sturler'"
"19","Onderdendam(30/11/1848)","NA","113","13.3886%","'mr. A.  Oudeman'"
"20","Groningen(30/11/1848)","NA","22","2.6316%","'mr. A.  Oudeman'"
"21","Onderdendam(11/12/1848)","NA","163","22.5762%","'mr. A.  Oudeman'"
"22","Groningen(30/11/1848)","NA","21","2.512%","' L.T.  Jorissen'"
"23","Groningen(30/08/1859)","NA","27","9.3426%","' L.T.  Jorissen'"
"24","NA","NA","NA","NA","NA"
"25","Appingedam(30/11/1848)","NA","57","6.6279%","' G.  Reinders'"
"26","Onderdendam(30/11/1848)","NA","357","42.2986%","' G.  Reinders'"
"27","Onderdendam(11/12/1848)","NA","559","77.4238%","' G.  Reinders'"
"28","Appingedam(27/08/1850)","NA","47","1.6118%","' G.  Reinders'"
"29","Zuidhorn(27/08/1850)","NA","456","70.4791%","' G.  Reinders'"
"30","Zuidhorn(08/06/1852)","NA","504","87.1972%","' G.  Reinders'"
"31","Zuidhorn(17/05/1853)","NA","382","63.8796%","' G.  Reinders'"
"32","Zuidhorn(13/06/1854)","NA","440","70.5128%","' G.  Reinders'"
"33","Zuidhorn(08/06/1858)","NA","391","69.697%","' G.  Reinders'"
"34","Zuidhorn(10/06/1862)","NA","411","93.6219%","' G.  Reinders'"
"35","Zuidhorn(12/06/1866)","NA","267","57.4194%","' G.  Reinders'"
"36","Zuidhorn(30/10/1866)","NA","446","63.0835%","' G.  Reinders'"
"37","Zuidhorn(22/01/1868)","NA","368","61.4357%","' G.  Reinders'"
"38","Onderdendam(30/11/1848)","","94","11.1374%","'dr. R.  Westerhoff'"
"39","Appingedam(27/12/1848)","","225","32.8947%","'dr. R.  Westerhoff'"
"40","Appingedam(03/01/1849)","","563","75.7739%","'dr. R.  Westerhoff'"
