"District","Dag","Maand","Jaar","Type","Electoraat","Opkomst","Stembriefjes","Geldig","Blanco"
"Dordrecht","10","1","1860","herstemming","2037","1104","1104","1093","10"
"Dordrecht","13","2","1860","tussentijds","2037","1133","1135","1108","11"
"Dordrecht","28","2","1860","herstemming","2037","1172","1173","1153","18"
"Hoorn","20","3","1860","tussentijds","3786","1096","1097","1080","9"
"Amsterdam","20","3","1860","tussentijds","4318","1385","1385","1381","2"
"Hoorn","3","4","1860","herstemming","3786","1472","1474","1467","2"
"Amsterdam","3","4","1860","herstemming","4318","1893","1893","1882","5"
"Zutphen","24","4","1860","tussentijds","2577","1488","1488","1478","8"
"Amersfoort","24","4","1860","tussentijds","2763","1266","1266","1236","6"
"Amersfoort","8","5","1860","herstemming","2763","1395","1395","1384","5"
"Hoorn","29","5","1860","tussentijds","3786","843","843","828","8"
"Groningen","12","6","1860","periodiek","1521","290","290","272","18"
"Appingedam","12","6","1860","periodiek","3138","822","823","805","4"
"Assen","12","6","1860","periodiek","2356","670","670","657","5"
"Leeuwarden","12","6","1860","periodiek","2946","1052","1052","1039","12"
"Sneek","12","6","1860","periodiek","2759","1076","1076","850","17"
"Dokkum","12","6","1860","periodiek","2451","662","662","650","10"
"Steenwijk","12","6","1860","periodiek","1365","583","583","565","7"
"Zwolle","12","6","1860","periodiek","2973","1140","1144","1132","5"
"Almelo","12","6","1860","periodiek","1876","1239","1240","1229","8"
"Deventer","12","6","1860","periodiek","1405","521","521","477","37"
"Zutphen","12","6","1860","periodiek","2577","1454","1454","1418","19"
"Arnhem","12","6","1860","periodiek","2774","1418","1418","1403","7"
"Nijmegen","12","6","1860","periodiek","2506","1196","1196","1154","28"
"Amersfoort","12","6","1860","periodiek","2763","1070","1070","1039","12"
"Utrecht","12","6","1860","periodiek","2755","761","761","742","19"
"Hoorn","12","6","1860","periodiek","3786","1004","1005","981","15"
"Alkmaar","12","6","1860","periodiek","2871","1103","1103","1091","5"
"Amsterdam","12","6","1860","periodiek","4318","1364","1365","1358","30"
"Leiden","12","6","1860","periodiek","2458","652","653","620","7"
"Gouda","12","6","1860","periodiek","3102","1240","1241","1209","31"
"Delft","12","6","1860","periodiek","2859","1419","1420","1404","15"
"Rotterdam","12","6","1860","periodiek","2781","1162","1162","1159","3"
"Den Haag","12","6","1860","periodiek","2041","988","989","981","6"
"Dordrecht","12","6","1860","periodiek","2037","943","943","931","11"
"Gorinchem","12","6","1860","periodiek","2868","1608","1609","1592","10"
"Middelburg","12","6","1860","periodiek","2496","1084","1084","1047","9"
"Goes","12","6","1860","periodiek","1305","871","871","845","8"
"Breda","12","6","1860","periodiek","3639","1748","1751","1736","13"
"Tilburg","12","6","1860","periodiek","2949","1131","1131","1123","3"
"Eindhoven","12","6","1860","periodiek","2121","1082","1083","1081","2"
"Maastricht","12","6","1860","periodiek","2013","815","815","786","20"
"Roermond","12","6","1860","periodiek","1596","1148","1148","1122","10"
"Boxmeer","12","6","1860","periodiek","1103","973","973","963","4"
"Den Bosch","12","6","1860","periodiek","2720","1007","1010","994","16"
"Zwolle","26","6","1860","herstemming","2973","1484","1484","1477","6"
"Alkmaar","26","6","1860","herstemming","2871","1551","1551","1545","5"
"Delft","26","6","1860","herstemming","2859","2217","2224","2210","9"
"Rotterdam","26","6","1860","herstemming","2781","1200","1204","1194","7"
"Dordrecht","26","6","1860","herstemming","2037","1261","1261","1251","9"
"Gorinchem","26","6","1860","herstemming","2868","1720","1721","1690","18"
"Roermond","26","6","1860","herstemming","1596","1300","1301","1293","5"
"Tiel","16","10","1860","tussentijds","1598","947","948","945","3"
"Leeuwarden","30","10","1860","tussentijds","2946","1670","1670","1656","10"
"Zwolle","9","4","1861","tussentijds","2973","1503","1504","1491","11"
"Roermond","9","4","1861","tussentijds","1596","1303","1305","1282","8"
"Zwolle","23","4","1861","herstemming","2973","1420","1420","1411","6"
"Roermond","23","4","1861","herstemming","1596","1324","1324","1311","11"
"Gouda","18","6","1861","tussentijds","3289","1073","1071","1048","20"
"Deventer","25","2","1862","tussentijds","1467","577","577","569","6"
"Rotterdam","25","2","1862","tussentijds","3030","1767","1767","1742","19"
"Rotterdam","25","2","1862","tussentijds","3030","1769","1769","1750","18"
"Breda","25","2","1862","tussentijds","3638","2065","2065","2042","16"
"Breda","11","3","1862","herstemming","3638","2361","2363","2341","18"
"Zuidhorn","10","6","1862","periodiek","1713","442","442","439","2"
"Appingedam","10","6","1862","periodiek","3201","1272","1273","1256","4"
"Assen","10","6","1862","periodiek","2413","636","636","628","4"
"Leeuwarden","10","6","1862","periodiek","2987","1487","1487","1477","6"
"Sneek","10","6","1862","periodiek","2859","1397","1397","1385","5"
"Dokkum","10","6","1862","periodiek","2529","756","756","750","5"
"Zwolle","10","6","1862","periodiek","3085","1424","1424","1416","4"
"Almelo","10","6","1862","periodiek","1938","1074","1074","1067","3"
"Zutphen","10","6","1862","periodiek","2657","1152","1152","1133","13"
"Arnhem","10","6","1862","periodiek","2853","1316","1316","1303","10"
"Nijmegen","10","6","1862","periodiek","2536","2064","2065","2034","17"
"Nijmegen","10","6","1862","tussentijds","2536","2060","2060","2032","24"
"Tiel","10","6","1862","periodiek","1634","705","706","692","13"
"Amersfoort","10","6","1862","periodiek","2801","1298","1300","1264","13"
"Utrecht","10","6","1862","periodiek","2866","986","986","960","23"
"Hoorn","10","6","1862","periodiek","4034","764","764","758","6"
"Alkmaar","10","6","1862","periodiek","3138","1176","1176","1171","2"
"Haarlem","10","6","1862","periodiek","1262","731","732","728","1"
"Amsterdam","10","6","1862","periodiek","4570","1420","1420","4222","35"
"Leiden","10","6","1862","periodiek","2604","1136","1136","1123","6"
"Gouda","10","6","1862","periodiek","3289","1847","1847","1843","3"
"Delft","10","6","1862","periodiek","2944","1045","1046","1028","14"
