,Unnamed: 0,Naam,Aanbevolen door,Aantal stemmen,Procentueel,District,Verkiezingdatum,Type,Omvang electoraat,Aantal stembriefjes,Aantal stemmen geldig,Aantal stemmen blanco,Aantal zetels,Kiesdrempel,Opkomst,margin
0,0,mr. B. Wichers,,700.0,83.73%,Groningen,30/11/1848,algemeen,1191,838,836.0,0,1.0,418,791.0,0.8419721871049305
1,1,W.L. de Sturler,,34.0,4.07%,Groningen,30/11/1848,algemeen,1191,838,836.0,0,1.0,418,791.0,-0.8419721871049305
2,2,mr. A. Oudeman,,22.0,2.63%,Groningen,30/11/1848,algemeen,1191,838,836.0,0,1.0,418,791.0,-0.8571428571428571
3,3,L.T. Jorissen,,21.0,2.51%,Groningen,30/11/1848,algemeen,1191,838,836.0,0,1.0,418,791.0,-0.8584070796460177
4,4,jhr.mr. O.Q.J.J. van Swinderen,,14.0,1.67%,Groningen,30/11/1848,algemeen,1191,838,836.0,0,1.0,418,791.0,-0.8672566371681416
5,5,G. Reinders,,357.0,42.30%,Onderdendam,30/11/1848,algemeen,1568,844,844.0,0,1.0,422,755.0,0.32317880794701986
6,6,mr. A. Oudeman,,113.0,13.39%,Onderdendam,30/11/1848,algemeen,1568,844,844.0,0,1.0,422,755.0,-0.32317880794701986
7,7,J.G. Allershof,,96.0,11.37%,Onderdendam,30/11/1848,algemeen,1568,844,844.0,0,1.0,422,755.0,-0.3456953642384106
8,8,dr. R. Westerhoff,,94.0,11.14%,Onderdendam,30/11/1848,algemeen,1568,844,844.0,0,1.0,422,755.0,-0.3483443708609272
9,9,mr. A. Beckeringh,,59.0,6.99%,Onderdendam,30/11/1848,algemeen,1568,844,844.0,0,1.0,422,755.0,-0.39470198675496687
10,10,mr. P. Brongers,,36.0,4.27%,Onderdendam,30/11/1848,algemeen,1568,844,844.0,0,1.0,422,755.0,-0.4251655629139073
11,11,G. Reinders,,559.0,77.42%,Onderdendam,11/12/1848,herstemming,1568,727,722.0,4,1.0,361,722.0,0.5484764542936288
12,12,mr. A. Oudeman,,163.0,22.58%,Onderdendam,11/12/1848,herstemming,1568,727,722.0,4,1.0,361,722.0,-0.5484764542936288
13,13,mr. R. de Sitter,,257.0,35.64%,Winschoten,30/11/1848,algemeen,1183,722,721.0,1,1.0,361,696.0,0.07183908045977011
14,14,J.F. Zijlker,,207.0,28.71%,Winschoten,30/11/1848,algemeen,1183,722,721.0,1,1.0,361,696.0,-0.07183908045977011
15,15,mr. S.C.H. Piccardt,,181.0,25.10%,Winschoten,30/11/1848,algemeen,1183,722,721.0,1,1.0,361,696.0,-0.10919540229885058
16,16,mr. J.C. van Slooten,,27.0,3.74%,Winschoten,30/11/1848,algemeen,1183,722,721.0,1,1.0,361,696.0,-0.33045977011494254
17,17,mr. G. Diephuis,,24.0,3.33%,Winschoten,30/11/1848,algemeen,1183,722,721.0,1,1.0,361,696.0,-0.33477011494252873
18,18,J.F. Zijlker,,530.0,64.56%,Appingedam,11/12/1848,tussentijds,1586,831,821.0,7,1.0,411,760.0,0.48947368421052634
19,19,P.W. Wiertsema,,158.0,19.24%,Appingedam,11/12/1848,tussentijds,1586,831,821.0,7,1.0,411,760.0,-0.48947368421052634
20,20,W. Waalkens,,72.0,8.77%,Appingedam,11/12/1848,tussentijds,1586,831,821.0,7,1.0,411,760.0,-0.6026315789473684
21,21,dr. R. Westerhoff,,225.0,32.89%,Appingedam,27/12/1848,tussentijds,1586,687,684.0,3,1.0,342,674.0,0.13649851632047477
22,22,mr. W.J. Mees,,133.0,19.44%,Appingedam,27/12/1848,tussentijds,1586,687,684.0,3,1.0,342,674.0,-0.13649851632047477
23,23,mr. D. Bonthuis,,117.0,17.11%,Appingedam,27/12/1848,tussentijds,1586,687,684.0,3,1.0,342,674.0,-0.16023738872403562
24,24,P.W. Wiertsema,,101.0,14.77%,Appingedam,27/12/1848,tussentijds,1586,687,684.0,3,1.0,342,674.0,-0.18397626112759644
25,25,W. Waalkens,,98.0,14.33%,Appingedam,27/12/1848,tussentijds,1586,687,684.0,3,1.0,342,674.0,-0.1884272997032641
26,26,mr. B. Albarda,,341.0,52.87%,Dokkum,30/11/1848,algemeen,984,650,645.0,5,1.0,323,616.0,0.13636363636363635
27,27,I.T. ter Brugghen Hugenholtz,,257.0,39.85%,Dokkum,30/11/1848,algemeen,984,650,645.0,5,1.0,323,616.0,-0.13636363636363635
28,28,I. da Costa,,18.0,2.79%,Dokkum,30/11/1848,algemeen,984,650,645.0,5,1.0,323,616.0,-0.5243506493506493
29,29,I.T. ter Brugghen Hugenholtz,,336.0,61.31%,Dokkum,19/12/1848,tussentijds,984,550,548.0,2,1.0,274,507.0,0.398422090729783
30,30,mr. J.B. Oosting,,134.0,24.45%,Dokkum,19/12/1848,tussentijds,984,550,548.0,2,1.0,274,507.0,-0.398422090729783
31,31,D.J.V. baron van Sytzama,,21.0,3.83%,Dokkum,19/12/1848,tussentijds,984,550,548.0,2,1.0,274,507.0,-0.621301775147929
32,32,mr. J.J.L. van der Brugghen,,16.0,2.92%,Dokkum,19/12/1848,tussentijds,984,550,548.0,2,1.0,274,507.0,-0.631163708086785
33,33,mr. N. van Heloma,,293.0,49.49%,Heerenveen,30/11/1848,algemeen,724,594,592.0,2,1.0,296,577.0,0.11438474870017332
34,34,mr. A.F. Jongstra,,227.0,38.34%,Heerenveen,30/11/1848,algemeen,724,594,592.0,2,1.0,296,577.0,-0.11438474870017332
35,35,mr. U.A. Everts,,57.0,9.63%,Heerenveen,30/11/1848,algemeen,724,594,592.0,2,1.0,296,577.0,-0.4090121317157712
36,36,mr. N. van Heloma,,318.0,52.74%,Heerenveen,15/12/1848,herstemming,724,612,603.0,9,1.0,302,603.0,0.05472636815920398
37,37,mr. A.F. Jongstra,,285.0,47.26%,Heerenveen,15/12/1848,herstemming,724,612,603.0,9,1.0,302,603.0,-0.05472636815920398
38,38,mr. B. Albarda,,366.0,40.31%,Sneek,30/11/1848,algemeen,1168,908,908.0,0,1.0,454,861.0,0.2450638792102207
39,39,dr. P.J. Costerus,,155.0,17.07%,Sneek,30/11/1848,algemeen,1168,908,908.0,0,1.0,454,861.0,-0.2450638792102207
40,40,mr. A.F. Jongstra,,139.0,15.31%,Sneek,30/11/1848,algemeen,1168,908,908.0,0,1.0,454,861.0,-0.26364692218350755
41,41,mr. N. van Heloma,,66.0,7.27%,Sneek,30/11/1848,algemeen,1168,908,908.0,0,1.0,454,861.0,-0.34843205574912894
42,42,jhr.mr. P.B.J. Vegilin van Claerbergen,,49.0,5.40%,Sneek,30/11/1848,algemeen,1168,908,908.0,0,1.0,454,861.0,-0.3681765389082462
43,43,mr. J. Dirks,,43.0,4.74%,Sneek,30/11/1848,algemeen,1168,908,908.0,0,1.0,454,861.0,-0.37514518002322883
44,44,mr. Æ. baron van Mackay,,26.0,2.86%,Sneek,30/11/1848,algemeen,1168,908,908.0,0,1.0,454,861.0,-0.3948896631823461
45,45,T.M.W. van Asbeck,,17.0,1.87%,Sneek,30/11/1848,algemeen,1168,908,908.0,0,1.0,454,861.0,-0.40534262485482
46,46,mr. B. Albarda,,555.0,65.99%,Franeker,30/11/1848,algemeen,1158,845,841.0,3,1.0,421,787.0,0.49428208386277
47,47,mr. U.A. Everts,,166.0,19.74%,Franeker,30/11/1848,algemeen,1158,845,841.0,3,1.0,421,787.0,-0.49428208386277
48,48,mr. G. Groen van Prinsterer,,50.0,5.95%,Franeker,30/11/1848,algemeen,1158,845,841.0,3,1.0,421,787.0,-0.6416772554002541
49,49,mr. J. Dirks,,16.0,1.90%,Franeker,30/11/1848,algemeen,1158,845,841.0,3,1.0,421,787.0,-0.6848792884371029
50,50,mr. J. Dirks,,329.0,45.76%,Franeker,19/12/1848,vacature,1158,725,719.0,3,1.0,360,693.0,0.1774891774891775
51,51,mr. A.F. Jongstra,,206.0,28.65%,Franeker,19/12/1848,vacature,1158,725,719.0,3,1.0,360,693.0,-0.1774891774891775
52,52,mr. G. Groen van Prinsterer,,129.0,17.94%,Franeker,19/12/1848,vacature,1158,725,719.0,3,1.0,360,693.0,-0.2886002886002886
