,Naam,Aanbevolen door,Aantal stemmen,Procentueel,District,Verkiezingdatum,Type,Omvang electoraat,Opkomst,Aantal stembriefjes,Aantal stemmen geldig,Aantal stemmen blanco,Aantal zetels,Kiesdrempel
0,mr. B. Wichers,,700,83.73%,Groningen,30/11/1848,algemeen,1191,838,838,836,0,1,418
1,W.L. de Sturler,,34,4.07%,Groningen,30/11/1848,algemeen,1191,838,838,836,0,1,418
2,mr. A. Oudeman,,22,2.63%,Groningen,30/11/1848,algemeen,1191,838,838,836,0,1,418
3,L.T. Jorissen,,21,2.51%,Groningen,30/11/1848,algemeen,1191,838,838,836,0,1,418
4,jhr.mr. O.Q.J.J. van Swinderen,,14,1.67%,Groningen,30/11/1848,algemeen,1191,838,838,836,0,1,418
5,G. Reinders,,357,42.30%,Onderdendam,30/11/1848,algemeen,1568,847,844,844,0,1,422
6,mr. A. Oudeman,,113,13.39%,Onderdendam,30/11/1848,algemeen,1568,847,844,844,0,1,422
7,J.G. Allershof,,96,11.37%,Onderdendam,30/11/1848,algemeen,1568,847,844,844,0,1,422
8,dr. R. Westerhoff,,94,11.14%,Onderdendam,30/11/1848,algemeen,1568,847,844,844,0,1,422
9,mr. A. Beckeringh,,59,6.99%,Onderdendam,30/11/1848,algemeen,1568,847,844,844,0,1,422
10,mr. P. Brongers,,36,4.27%,Onderdendam,30/11/1848,algemeen,1568,847,844,844,0,1,422
11,G. Reinders,,559,77.42%,Onderdendam,11/12/1848,herstemming,1568,727,727,722,4,1,361
12,mr. A. Oudeman,,163,22.58%,Onderdendam,11/12/1848,herstemming,1568,727,727,722,4,1,361
13,mr. R. de Sitter,,257,35.64%,Winschoten,30/11/1848,algemeen,1183,722,722,721,1,1,361
14,J.F. Zijlker,,207,28.71%,Winschoten,30/11/1848,algemeen,1183,722,722,721,1,1,361
15,mr. S.C.H. Piccardt,,181,25.10%,Winschoten,30/11/1848,algemeen,1183,722,722,721,1,1,361
16,mr. J.C. van Slooten,,27,3.74%,Winschoten,30/11/1848,algemeen,1183,722,722,721,1,1,361
17,mr. G. Diephuis,,24,3.33%,Winschoten,30/11/1848,algemeen,1183,722,722,721,1,1,361
18,J.F. Zijlker,,530,64.56%,Appingedam,11/12/1848,tussentijds,1586,831,831,821,7,1,411
19,P.W. Wiertsema,,158,19.24%,Appingedam,11/12/1848,tussentijds,1586,831,831,821,7,1,411
20,W. Waalkens,,72,8.77%,Appingedam,11/12/1848,tussentijds,1586,831,831,821,7,1,411
21,dr. R. Westerhoff,,225,32.89%,Appingedam,27/12/1848,tussentijds,1586,686,687,684,3,1,342
22,mr. W.J. Mees,,133,19.44%,Appingedam,27/12/1848,tussentijds,1586,686,687,684,3,1,342
23,mr. D. Bonthuis,,117,17.11%,Appingedam,27/12/1848,tussentijds,1586,686,687,684,3,1,342
24,P.W. Wiertsema,,101,14.77%,Appingedam,27/12/1848,tussentijds,1586,686,687,684,3,1,342
25,W. Waalkens,,98,14.33%,Appingedam,27/12/1848,tussentijds,1586,686,687,684,3,1,342
26,mr. B. Albarda,,341,52.87%,Dokkum,30/11/1848,algemeen,984,650,650,645,5,1,323
27,I.T. ter Brugghen Hugenholtz,,257,39.85%,Dokkum,30/11/1848,algemeen,984,650,650,645,5,1,323
28,I. da Costa,,18,2.79%,Dokkum,30/11/1848,algemeen,984,650,650,645,5,1,323
29,I.T. ter Brugghen Hugenholtz,,336,61.31%,Dokkum,19/12/1848,tussentijds,984,548,550,548,2,1,274
30,mr. J.B. Oosting,,134,24.45%,Dokkum,19/12/1848,tussentijds,984,548,550,548,2,1,274
31,D.J.V. baron van Sytzama,,21,3.83%,Dokkum,19/12/1848,tussentijds,984,548,550,548,2,1,274
32,mr. J.J.L. van der Brugghen,,16,2.92%,Dokkum,19/12/1848,tussentijds,984,548,550,548,2,1,274
33,mr. N. van Heloma,,293,49.49%,Heerenveen,30/11/1848,algemeen,724,592,594,592,2,1,296
34,mr. A.F. Jongstra,,227,38.34%,Heerenveen,30/11/1848,algemeen,724,592,594,592,2,1,296
35,mr. U.A. Everts,,57,9.63%,Heerenveen,30/11/1848,algemeen,724,592,594,592,2,1,296
36,mr. N. van Heloma,,318,52.74%,Heerenveen,15/12/1848,herstemming,724,612,612,603,9,1,302
37,mr. A.F. Jongstra,,285,47.26%,Heerenveen,15/12/1848,herstemming,724,612,612,603,9,1,302
38,mr. B. Albarda,,366,40.31%,Sneek,30/11/1848,algemeen,1168,907,908,908,0,1,454
39,dr. P.J. Costerus,,155,17.07%,Sneek,30/11/1848,algemeen,1168,907,908,908,0,1,454
40,mr. A.F. Jongstra,,139,15.31%,Sneek,30/11/1848,algemeen,1168,907,908,908,0,1,454
41,mr. N. van Heloma,,66,7.27%,Sneek,30/11/1848,algemeen,1168,907,908,908,0,1,454
42,jhr.mr. P.B.J. Vegilin van Claerbergen,,49,5.40%,Sneek,30/11/1848,algemeen,1168,907,908,908,0,1,454
43,mr. J. Dirks,,43,4.74%,Sneek,30/11/1848,algemeen,1168,907,908,908,0,1,454
44,mr. Ã. baron van Mackay,,26,2.86%,Sneek,30/11/1848,algemeen,1168,907,908,908,0,1,454
45,T.M.W. van Asbeck,,17,1.87%,Sneek,30/11/1848,algemeen,1168,907,908,908,0,1,454
46,mr. B. Albarda,,555,65.99%,Franeker,30/11/1848,algemeen,1158,845,845,841,3,1,421
47,mr. U.A. Everts,,166,19.74%,Franeker,30/11/1848,algemeen,1158,845,845,841,3,1,421
48,mr. G. Groen van Prinsterer,,50,5.95%,Franeker,30/11/1848,algemeen,1158,845,845,841,3,1,421
49,mr. J. Dirks,,16,1.90%,Franeker,30/11/1848,algemeen,1158,845,845,841,3,1,421
50,mr. J. Dirks,,329,45.76%,Franeker,19/12/1848,vacature,1158,725,725,719,3,1,360
51,mr. A.F. Jongstra,,206,28.65%,Franeker,19/12/1848,vacature,1158,725,725,719,3,1,360
52,mr. G. Groen van Prinsterer,,129,17.94%,Franeker,19/12/1848,vacature,1158,725,725,719,3,1,360
53,mr. U.A. Everts,,29,4.03%,Franeker,19/12/1848,vacature,1158,725,725,719,3,1,360
54,mr. J. Dirks,,393,56.96%,Franeker,29/12/1848,herstemming,1158,696,696,690,3,1,345
55,mr. A.F. Jongstra,,297,43.04%,Franeker,29/12/1848,herstemming,1158,696,696,690,3,1,345
56,mr. J.T. Homan,,245,29.59%,Assen,30/11/1848,algemeen,973,835,835,828,3,1,414
57,mr. L. graaf van Heiden Reinestein,,181,21.86%,Assen,30/11/1848,algemeen,973,835,835,828,3,1,414
58,mr. P. van der Veen,,114,13.77%,Assen,30/11/1848,algemeen,973,835,835,828,3,1,414
59,mr. G. Kniphorst,,47,5.68%,Assen,30/11/1848,algemeen,973,835,835,828,3,1,414
60,mr. L. Oldenhuis Gratama,,39,4.71%,Assen,30/11/1848,algemeen,973,835,835,828,3,1,414
61,mr. P.W.A. Grevelink,,32,3.86%,Assen,30/11/1848,algemeen,973,835,835,828,3,1,414
62,mr. J. Tonckens,,32,3.86%,Assen,30/11/1848,algemeen,973,835,835,828,3,1,414
63,mr. C. Hiddingh,,29,3.50%,Assen,30/11/1848,algemeen,973,835,835,828,3,1,414
64,jhr.mr. H.J.L. van der Wijck,,15,1.81%,Assen,30/11/1848,algemeen,973,835,835,828,3,1,414
65,mr. J.T. Homan,,410,50.43%,Assen,07/12/1848,herstemming,973,820,820,813,6,1,407
66,mr. L. graaf van Heiden Reinestein,,403,49.57%,Assen,07/12/1848,herstemming,973,820,820,813,6,1,407
67,mr. L. graaf van Heiden Reinestein,,263,39.02%,Assen,26/12/1848,tussentijds,973,678,678,674,2,1,337
68,mr. P. van der Veen,,105,15.58%,Assen,26/12/1848,tussentijds,973,678,678,674,2,1,337
69,mr. Ã. baron van Mackay,,59,8.75%,Assen,26/12/1848,tussentijds,973,678,678,674,2,1,337
70,mr. G. Kniphorst,,53,7.86%,Assen,26/12/1848,tussentijds,973,678,678,674,2,1,337
71,mr. P.W.A. Grevelink,,35,5.19%,Assen,26/12/1848,tussentijds,973,678,678,674,2,1,337
72,mr. W. Tonckens,,33,4.90%,Assen,26/12/1848,tussentijds,973,678,678,674,2,1,337
73,mr. H.J. Kymmell,,23,3.41%,Assen,26/12/1848,tussentijds,973,678,678,674,2,1,337
74,J.A. Meursing,,17,2.52%,Assen,26/12/1848,tussentijds,973,678,678,674,2,1,337
75,mr. L. Metman,,17,2.52%,Assen,26/12/1848,tussentijds,973,678,678,674,2,1,337
76,mr. C. Hiddingh,,10,1.48%,Assen,26/12/1848,tussentijds,973,678,678,674,2,1,337
77,mr. L. graaf van Heiden Reinestein,,416,66.24%,Assen,04/01/1849,herstemming,973,638,638,628,10,1,314
78,mr. P. van der Veen,,212,33.76%,Assen,04/01/1849,herstemming,973,638,638,628,10,1,314
79,mr. L.N. graaf van Randwijck,,316,41.20%,Hoogeveen,30/11/1848,algemeen,940,771,771,767,4,1,384
80,dr. M. Dassen,,200,26.08%,Hoogeveen,30/11/1848,algemeen,940,771,771,767,4,1,384
81,mr. P.W.A. Grevelink,,70,9.13%,Hoogeveen,30/11/1848,algemeen,940,771,771,767,4,1,384
82,A. van der Vlies,,37,4.82%,Hoogeveen,30/11/1848,algemeen,940,771,771,767,4,1,384
83,jhr.mr. H.J.L. van der Wijck,,28,3.65%,Hoogeveen,30/11/1848,algemeen,940,771,771,767,4,1,384
84,mr. L. Kniphorst,,14,1.83%,Hoogeveen,30/11/1848,algemeen,940,771,771,767,4,1,384
85,mr. H.J. Kymmell,,13,1.69%,Hoogeveen,30/11/1848,algemeen,940,771,771,767,4,1,384
86,mr. G. Groen van Prinsterer,,12,1.56%,Hoogeveen,30/11/1848,algemeen,940,771,771,767,4,1,384
87,dr. M. Dassen,,376,50.20%,Hoogeveen,07/12/1848,herstemming,940,756,758,749,7,1,375
88,mr. L.N. graaf van Randwijck,,373,49.80%,Hoogeveen,07/12/1848,herstemming,940,756,758,749,7,1,375
89,G. de SeriÃ¨re,,244,39.80%,Hoogeveen,26/12/1848,tussentijds,940,617,621,613,8,1,307
90,mr. L.N. graaf van Randwijck,,226,36.87%,Hoogeveen,26/12/1848,tussentijds,940,617,621,613,8,1,307
91,A. van der Vlies,,61,9.95%,Hoogeveen,26/12/1848,tussentijds,940,617,621,613,8,1,307
92,dr. B. Verver,,36,5.87%,Hoogeveen,26/12/1848,tussentijds,940,617,621,613,8,1,307
93,mr. P.W.A. Grevelink,,14,2.28%,Hoogeveen,26/12/1848,tussentijds,940,617,621,613,8,1,307
94,mr. L.N. graaf van Randwijck,,409,61.23%,Hoogeveen,04/01/1849,herstemming,940,686,688,668,18,1,334
95,G. de SeriÃ¨re,,259,38.77%,Hoogeveen,04/01/1849,herstemming,940,686,688,668,18,1,334
