name_in_elected_people,name_in_all_elections
P.J.M.  Aalberse,mr. P.J.M. Aalberse
D. van Akerlaken,jhr.mr. D. van Akerlaken
B.  Albarda,mr. B. Albarda
J.H.  Albarda,mr. J.H. Albarda
J.W.  Albarda,J.W. Albarda
J. van Alphen,J. van Alphen
H.A. des Amorie van der Hoeven,mr. H.A. des Amorie van der Hoeven
J.  Andreae,J. Andreae
S.H.  Anemaet,mr. S.H. Anemaet
J.  Ankerman,mr. J. Ankerman
J.H.  Arnoldts,J.H. Arnoldts
J.  Arnoldts,J. Arnoldts
A.H.A.  Arts,A.H.A. Arts
H.A.M. van Asch van Wijck,jhr.mr. H.A.M. van Asch van Wijck
M.M. van Asch van Wijck,jhr.mr. M.M. van Asch van Wijck
T.A.J. van Asch van Wijck,jhr.mr. T.A.J. van Asch van Wijck
L.H.J.M. van Asch van Wijck,jhr.mr. L.H.J.M. van Asch van Wijck
H.M.J. van Asch van Wijck,jhr.mr. H.M.J. van Asch van Wijck
H.W. van Asch van Wijck,jhr.mr. H.W. van Asch van Wijck
E.J.  Attema,E.J. Attema
F.W.J. baron van Aylva van Pallandt,F.W.J. baron van Aylva van Pallandt
A.J.H. van Baar,mr. A.J.H. van Baar
P.J.  Bachiene,mr. P.J. Bachiene
C.  Backer,jhr.mr. C. Backer
B.M.  Bahlmann,mr. B.M. Bahlmann
C.A.H.  Barge,mr. C.A.H. Barge
W.H.J.T. van Basten van Batenburg,mr. W.H.J.T. van Basten van Batenburg
J.N.  Bastert,J.N. Bastert
J.C.  Baud,J.C. Baud
W.H. de Beaufort,mr. W.H. de Beaufort
J.H.J.  Beckers,J.H.J. Beckers
G.J.T.  Beelaerts van Blokland,jhr.mr. G.J.T. Beelaerts van Blokland
C.C.A.  Beens,mr. C.C.A. Beens
W.C.M.  Begram,W.C.M. Begram
S.W.H.A. van Beijma thoe Kingma,jhr.mr. S.W.H.A. van Beijma thoe Kingma
J.L.C. van den Berch van Heemstede,jhr.mr. J.L.C. van den Berch van Heemstede
I.B.D. van den Berch van Heemstede,jhr. I.B.D. van den Berch van Heemstede
A.H.M. van Berckel,mr. A.H.M. van Berckel
E.A. van Beresteijn,jhr.mr.dr. E.A. van Beresteijn
J.W.  Bergansius,J.W. Bergansius
Z. van den Bergh,mr. Z. van den Bergh
S. van den Bergh jr.,S. van den Bergh jr.
W.A.  Bergsma,mr. W.A. Bergsma
J. van Best,mr.dr. J. van Best
G.H.  Betz,G.H. Betz
E.J.  Beumer,dr. E.J. Beumer
H.A. van Beuningen,H.A. van Beuningen
J.G.S.  Bevers,mr. J.G.S. Bevers
M.  Bichon van Ysselmonde,mr. M. Bichon van Ysselmonde
C.J.A.  Bichon van Ysselmonde,mr. C.J.A. Bichon van Ysselmonde
Ch. baron van Bieberstein,Ch. baron van Bieberstein
C.A. baron van Bieberstein Rogalla Zawadsky,C.A. baron van Bieberstein Rogalla Zawadsky
C.C.M.H. baron van Bieberstein Rogalla Zawadsky,mr. C.C.M.H. baron van Bieberstein Rogalla Zawadsky
J.J.W. van den Biesen,mr. J.J.W. van den Biesen
H.  Bijleveld,H. Bijleveld
S.  Blaupot ten Cate,S. Blaupot ten Cate
F.W.C.  Blom,F.W.C. Blom
Ph. van Blom,mr. Ph. van Blom
C.F.J.  Blooker,dr. C.F.J. Blooker
J.H.  Blum,J.H. Blum
P.L.F.  Blussé,mr. P.L.F. BlussÃ©
P.  Blussé van Oud-Alblas,mr. P. BlussÃ© van Oud-Alblas
K. de Boer,K. de Boer
C.W.J. baron van Boetzelaar van Dubbeldam,mr. C.W.J. baron van Boetzelaar van Dubbeldam
W.H.  Bogaardt,W.H. Bogaardt
W.  Boissevain,W. Boissevain
J.B.  Bomans,mr. J.B. Bomans
M.C.E.  Bongaerts,M.C.E. Bongaerts
W.H.  Boogaardt,W.H. Boogaardt
M.  Boogaerdt,M. Boogaerdt
H.J.  Bool,H.J. Bool
A.P.R.C. baron van Borch van Verwolde,mr. A.P.R.C. baron van Borch van Verwolde
W.  Boreel van Hogelanden,jhr.mr. W. Boreel van Hogelanden
J.W.G.  Boreel van Hogelanden,jhr.mr. J.W.G. Boreel van Hogelanden
E.J.H.  Borret,mr. E.J.H. Borret
F.H.H.  Borret,F.H.H. Borret
T.L.M.H.  Borret,mr. T.L.M.H. Borret
A.W. van Borssele,jhr. A.W. van Borssele
D.  Bos,dr. D. Bos
J. de Bosch Kemper,jhr.mr. J. de Bosch Kemper
O.T.  Bosgra,O.T. Bosgra
J.  Bosscha,dr. J. Bosscha
P.P. van Bosse,mr. P.P. van Bosse
J.B.  Bots,mr. J.B. Bots
A.  Bouman,A. Bouman
A.  Boxman,mr. A. Boxman
M.A.  Brants,dr. M.A. Brants
C.M.  Brantsen,jhr. C.M. Brantsen
W.G. baron van Brantsen van de Zijp,mr. W.G. baron van Brantsen van de Zijp
W.M. de Brauw,jhr.mr. W.M. de Brauw
J.P.  Bredius,J.P. Bredius
B.  Brouwer,mr. B. Brouwer
H.J.  Brouwers,mr. H.J. Brouwers
J.J.L. van der Brugghen,mr. J.J.L. van der Brugghen
I.T. ter Brugghen Hugenholtz,I.T. ter Brugghen Hugenholtz
J.G. de Bruijn,mr. J.G. de Bruijn
A.  Brummelkamp jr.,A. Brummelkamp jr.
J.L. de Bruyn Kops,mr. J.L. de Bruyn Kops
A.  Buma,A. Buma
J.P.I.  Buteux,J.P.I. Buteux
W.K.F.P. graaf van Bylandt,mr. W.K.F.P. graaf van Bylandt
C.J.E. graaf van Bylandt,mr. C.J.E. graaf van Bylandt
F. de Casembroot,jhr. F. de Casembroot
S. van Citters,jhr. S. van Citters
J.M.L.H.  Clercx,mr. J.M.L.H. Clercx
H.  Colijn,H. Colijn
A.  Colijn jr.,A. Colijn jr.
J.F.W.  Conrad,J.F.W. Conrad
S.  Cool,S. Cool
K.L.J.  Cornelis,mr. K.L.J. Cornelis
J.R.  Corver Hooft,mr. J.R. Corver Hooft
P.J.  Costerus,dr. P.J. Costerus
J.T.  Cremer,J.T. Cremer
E.J.J.B.  Cremers,mr. E.J.J.B. Cremers
W.C.J.J.  Cremers,mr. W.C.J.J. Cremers
J.  Dam,mr. J. Dam
M.  Dassen,dr. M. Dassen
A. baron van Dedem,A. baron van Dedem
W.K. baron van Dedem,mr. W.K. baron van Dedem
G.W. baron van Dedem,mr. G.W. baron van Dedem
J.J. van Deinse,mr. J.J. van Deinse
J.G. van Deinse,mr. J.G. van Deinse
A. van Delden,mr. A. van Delden
I.P.  Delprat,dr. I.P. Delprat
C.T. van Deventer,mr. C.T. van Deventer
J.H.A.  Diepen,J.H.A. Diepen
G.  Diepen,G. Diepen
B.P.G. van Diggelen,B.P.G. van Diggelen
P.J.G. van Diggelen,mr. P.J.G. van Diggelen
H.J.  Dijckmeester,mr. H.J. Dijckmeester
J.  Dirks,mr. J. Dirks
F.T.J.H.  Dobbelman,F.T.J.H. Dobbelman
J.M.B.J. van der Does de Willebois,jhr.mr. J.M.B.J. van der Does de Willebois
W.  Dolk,mr. W. Dolk
F.  Domela Nieuwenhuis,F. Domela Nieuwenhuis
D.  Donker Curtius,mr. D. Donker Curtius
J.  Donker Hzn.,J. Donker Hzn.
J.H.  Donner,J.H. Donner
E.C.U. van Doorn,E.C.U. van Doorn
W.T.C. van Doorn,jhr.mr. W.T.C. van Doorn
H.C.  Dresselhuys,mr. H.C. Dresselhuys
F.J.W.  Drion,F.J.W. Drion
H.L.  Drucker,mr. H.L. Drucker
T.J.A.  Duijnstee,mr. T.J.A. Duijnstee
J.E.W.  Duijs,J.E.W. Duijs
W.H.  Dullert,mr. R.W. Tadema
G.  Dumbar,mr. G. Dumbar
A.J.  Duymaer van Twist,mr. A.J. Duymaer van Twist
L.F.  Duymaer van Twist,L.F. Duymaer van Twist
J.  Duyvis,J. Duyvis
D. van Eck,mr. D. van Eck
B.D.  Eerdmans,dr. B.D. Eerdmans
K.  Eland,K. Eland
G.  Elhorst,G. Elhorst
P.J.  Elout van Soeterwoude,jhr.mr. P.J. Elout van Soeterwoude
D.  Engelberts,mr. D. Engelberts
A.W.  Engelen,mr. A.W. Engelen
W.E.  Engelen,jhr.mr. W.E. Engelen
A.H.J.  Engels,A.H.J. Engels
W.  Everts,dr. W. Everts
G.  Fabius,G. Fabius
J.C.  Fabius,J.C. Fabius
A.J.W.  Farncombe Sanders,mr. A.J.W. Farncombe Sanders
W.A. van der Feltz,jhr. W.A. van der Feltz
P.B.J.  Ferf,P.B.J. Ferf
A.N.  Fleskens,A.N. Fleskens
C.  Fock,mr. C. Fock
D.  Fock,mr. D. Fock
G.A.  Fokker,mr. G.A. Fokker
E.  Fokker,mr. E. Fokker
C. van Foreest,jhr.mr. C. van Foreest
P. van Foreest,jhr.mr. P. van Foreest
S.R. van Franck,S.R. van Franck
I.D.  Fransen van de Putte,I.D. Fransen van de Putte
J.A. de Fremery,J.A. de Fremery
W.A.  Froger,W.A. Froger
P.F.  Fruijtier,P.F. Fruijtier
D.J. de Geer,jhr.mr. D.J. de Geer
B.J.L. baron van Geer van Jutphaas,mr. B.J.L. baron van Geer van Jutphaas
J.H.  Geertsema,mr. J.H. Geertsema
W.J.  Geertsema,W.J. Geertsema
J.W.  Gefken,mr. J.W. Gefken
J. van Gennep,mr. J. van Gennep
A.H.  Gerhard,A.H. Gerhard
B.J.  Gerretson,B.J. Gerretson
C.V.  Gerritsen,C.V. Gerritsen
W.T.  Gevers Deynoot,jhr.mr. W.T. Gevers Deynoot
D.T.  Gevers van Endegeest,jhr.mr. D.T. Gevers van Endegeest
S.M.H. van Gijn,S.M.H. van Gijn
A.  Gildemeester,A. Gildemeester
J.G.  Gleichman,mr. J.G. Gleichman
N.  Glinderman,N. Glinderman
M.H.  Godefroi,mr. M.H. Godefroi
K.A.  Godin de Beaufort,jhr.mr. K.A. Godin de Beaufort
G.J.  Goekoop,mr. G.J. Goekoop
H.  Goeman Borgesius,mr. H. Goeman Borgesius
H.M.A. baron van Goes van Dirxland,mr. H.M.A. baron van Goes van Dirxland
J.K. baron van Goltstein,mr. J.K. baron van Goltstein
W. baron van Goltstein,mr. W. baron van Goltstein
P.  Gouverneur,mr. P. Gouverneur
L.G.  Greeve,mr. L.G. Greeve
G.  Groen van Prinsterer,mr. G. Groen van Prinsterer
H.F.  Groen van Waarder,H.F. Groen van Waarder
H.A.G. van Groenendael,mr.dr. H.A.G. van Groenendael
N.R.H.  Guljé,N.R.H. GuljÃ©
H.D.  Guyot,H.D. Guyot
J.H.L.  Haffmans,mr. J.H.L. Haffmans
F.A. van Hall,mr. F.A. van Hall
G.A. van Hamel,mr. G.A. van Hamel
J.A. van Hamel,mr. J.A. van Hamel
E.L. baron van Hardenbroek van Lockhorst,mr. E.L. baron van Hardenbroek van Lockhorst
B.P. baron van Harinxma thoe Slooten,mr. B.P. baron van Harinxma thoe Slooten
J.J.I.  Harte van Tecklenburg,mr. J.J.I. Harte van Tecklenburg
A.F.K.  Hartogh,mr. A.F.K. Hartogh
J.J.  Hasselman,J.J. Hasselman
W.J.C. van Hasselt,mr. W.J.C. van Hasselt
J.P.  Havelaar,J.P. Havelaar
W. baron van Heeckeren van Kell,mr. W. baron van Heeckeren van Kell
