name_all_elected,name_politician_data
P.J.M.  Aalberse,P.J.M.  Aalberse
D. van Akerlaken,D. van Akerlaken
B.  Albarda,B.  Albarda
J.H.  Albarda,J.W.  Albarda
J.W.  Albarda,J.W.  Albarda
J. van Alphen,J. van Alphen
H.A. des Amorie van der Hoeven,H.A. des Amorie van der Hoeven
J.  Andreae,J.  Andreae
S.H.  Anemaet,S.H.  Anemaet
J.  Ankerman,J.  Ankerman
J.H.  Arnoldts,J.H.  Arnoldts
J.  Arnoldts,M.J.G.J.  Arnoldts
A.H.A.  Arts,A.H.A.  Arts
H.A.M. van Asch van Wijck,H.A.M. van Asch van Wijck
M.M. van Asch van Wijck,M.M. van Asch van Wijck
T.A.J. van Asch van Wijck,T.A.J. van Asch van Wijck
L.H.J.M. van Asch van Wijck,L.H.J.M. van Asch van Wijck
H.M.J. van Asch van Wijck,H.M.J. van Asch van Wijck
H.W. van Asch van Wijck,H.W. van Asch van Wijck
E.J.  Attema,E.J.  Attema
F.W.J. baron van Aylva van Pallandt,F.W.J. van Aylva baron van Pallandt
A.J.H. van Baar,A.J.H. van Baar
P.J.  Bachiene,Ph.J.  Bachiene
C.  Backer,C.  Backer
B.M.  Bahlmann,B.M.  Bahlmann
C.A.H.  Barge,Ch.A.H.  Barge
W.H.J.T. van Basten van Batenburg,W.H.J.Th. van Basten Batenburg
J.N.  Bastert,J.N.  Bastert
J.C.  Baud,J.Ch.  Baud
W.H. de Beaufort,W.H. de Beaufort
J.H.J.  Beckers,J.H.J.  Beckers
G.J.T.  Beelaerts van Blokland,G.J.Th.  Beelaerts van Blokland
C.C.A.  Beens,C.C.A.  Beens
W.C.M.  Begram,W.C.M.  Begram
S.W.H.A. van Beijma thoe Kingma,S.W.H.A. van Beyma thoe Kingma
J.L.C. van den Berch van Heemstede,I.B.D. van den Berch van Heemstede
I.B.D. van den Berch van Heemstede,I.B.D. van den Berch van Heemstede
A.H.M. van Berckel,A.H.M. van Berckel
E.A. van Beresteijn,E.A. van Beresteyn
J.W.  Bergansius,
Z. van den Bergh,Z. van den Bergh
S. van den Bergh jr.,S. van den Bergh
W.A.  Bergsma,W.A.  Bergsma
J. van Best,J. van Best
G.H.  Betz,G.H.  Betz
E.J.  Beumer,E.J.  Beumer
H.A. van Beuningen,H.A. van Beuningen
J.G.S.  Bevers,J.G.S.  Bevers
M.  Bichon van Ysselmonde,M.  Bichon van IJsselmonde
